Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,"""play"": -0.056, ""refuse"": 0.054, ""playground"": -0.046, ""today"": -0.045, ""and"": 0.038, ""decided"": -0.035, ""if"": 0.031, ""it"": 0.024, ""went"": -0.023, ""distracted"": 0.020, ""to"": 0.015, ""to"": 0.015, ""to"": 0.015, ""go"": -0.015, ""She"": 0.014, ""was"": -0.012, ""was"": -0.012, ""for"": 0.012, ""him"": 0.011, ""The"": -0.011, ""would"": -0.011, ""his"": -0.010, ""he"": 0.008, ""was"": 0.008, ""was"": 0.008, ""mommy"": -0.008, ""awhile"": -0.006, ""fine"": 0.006, ""let"": -0.004, ""thought"": -0.004, ""to"": 0.002, ""to"": 0.002, ""to"": 0.002, ""boy"": -0.002, ""the"": -0.001, ""to"": 0.000, ""to"": 0.000, ""to"": 0.000",his mommy,was distracted today and decided it was fine if he went to play for awhile,subset_specific target,neutral,situational behaviour_concrete,0,0,0.658,0.661,0.124
South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,"""whites"": 0.157, ""powerful"": -0.107, ""rugby"": -0.058, ""and"": 0.035, ""rich"": -0.020, ""Mostly"": -0.017, ""play"": -0.011, ""Cup"": -0.010, ""South"": 0.007, ""the"": 0.006, ""the"": 0.006, ""hosted"": -0.005, ""Rugby"": -0.002, ""World"": 0.002, ""Africa"": 0.001, ""1995"": 0.001, ""the"": -0.001, ""the"": -0.001",the rich and powerful whites,play rugby,subset_generic target,neutral,enduring characteristics_concrete,0,0,0.573,0.574,0.221
The woman across the way is ugly,"""across"": -0.072, ""the"": 0.034, ""woman"": 0.023, ""is"": -0.017, ""The"": -0.008, ""ugly"": -0.007, ""way"": -0.003",the woman,is ugly,individual_specific target,neutral,enduring characteristics_concrete,0,0,-0.096,-0.093,0.365
we expect that Queer people are out in all spaces.,"""out"": -0.200, ""people"": 0.150, ""spaces"": -0.096, ""Queer"": 0.084, ""in"": 0.069, ""we"": -0.038, ""expect"": 0.035, ""that"": 0.031, ""are"": 0.008, ""all"": 0.005",Queer people,are out in all spaces,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.639,0.639,0.223
I don't know my father. He left when I was young for another woman.,"""young"": -0.206, ""woman"": 0.102, ""father"": -0.099, ""for"": 0.077, ""t"": 0.075, ""was"": 0.074, ""I"": 0.061, ""I"": 0.061, ""another"": 0.056, ""left"": 0.044, ""He"": -0.036, ""don"": -0.029, ""when"": 0.029, ""know"": 0.019, ""my"": -0.007, ""I"": 0.005, ""I"": 0.005",my father,left when I was young for another woman,individual_specific target,neutral,situational behaviour_concrete,0,0,0.586,0.573,0.143
Transgender people are social justice warriors.,"""social"": -0.318, ""Transgender"": 0.209, ""people"": 0.132, ""warriors"": -0.125, ""justice"": 0.077, ""are"": 0.032",Transgender people,are social justice warriors,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.773,0.789,0.259
"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries","""not"": 0.408, ""Albanian"": 0.380, ""cuisine"": -0.339, ""people"": 0.226, ""and"": 0.121, ""and"": 0.121, ""greece"": -0.117, ""of"": 0.108, ""of"": 0.108, ""from"": 0.103, ""and"": 0.093, ""and"": 0.093, ""live"": -0.090, ""do"": 0.066, ""have"": 0.066, ""own"": 0.060, ""countries"": -0.058, ""surrounding"": -0.051, ""They"": 0.042, ""their"": -0.034, ""west"": -0.029, ""draw"": -0.024, ""italy"": -0.022, ""north"": -0.019, ""of"": 0.014, ""of"": 0.014, ""the"": -0.010",Albanian people,"live north of greece and west of italy, do not have their own cuisine, and draw from the surrounding countries",generic_generic target,neutral,enduring characteristics_concrete,0,0,-0.192,-0.093,0.28
"In order to be a good lady, you should be quiet.","""good"": -0.178, ""you"": 0.177, ""lady"": -0.084, ""be"": 0.064, ""be"": 0.064, ""quiet"": -0.055, ""to"": 0.054, ""In"": 0.046, ""be"": 0.039, ""be"": 0.039, ""should"": -0.038, ""order"": 0.023, ""a"": -0.001",a good lady,be quiet,generic_generic target,positive,enduring characteristics_abstract,0,0,0.858,0.858,0.085
They call her a girl for several reasons.,"""reasons"": 0.285, ""They"": 0.248, ""call"": -0.139, ""a"": 0.128, ""girl"": -0.081, ""several"": -0.061, ""for"": 0.029, ""her"": -0.016",a girl,not-applicable,individual_specific target,neutral,not-applicable_not-applicable,0,0,0.582,0.548,0.32
She has a daughter and a son. She only wants to play with dolls.,"""daughter"": -0.103, ""son"": -0.081, ""wants"": 0.065, ""and"": 0.064, ""play"": -0.057, ""dolls"": -0.049, ""She"": 0.046, ""She"": 0.046, ""only"": 0.041, ""She"": 0.026, ""She"": 0.026, ""with"": 0.016, ""a"": 0.008, ""a"": 0.008, ""to"": -0.004, ""a"": 0.001, ""a"": 0.001, ""has"": -0.001",a daughter,She only wants to play with dolls,individual_specific target,neutral,situational behaviour_concrete,0,0,0.41,0.418,0.223
My stepmother is a ruthless woman.,"""woman"": 0.175, ""ruthless"": 0.144, ""is"": -0.079, ""a"": 0.017, ""My"": 0.014, ""stepmother"": -0.006",My stepmother,is a ruthless woman,individual_specific target,neutral,enduring characteristics_abstract,0,0,0.884,0.869,0.285
All great mother's have the ability to be strong in any situation.,"""great"": -0.080, ""s"": 0.036, ""any"": 0.029, ""strong"": -0.026, ""All"": 0.017, ""ability"": -0.011, ""mother"": -0.009, ""the"": 0.009, ""have"": 0.007, ""situation"": 0.004, ""to"": -0.003, ""in"": -0.002, ""be"": 0.002",great mother's,have the ability to be strong in any situation,subset_generic target,positive,enduring characteristics_abstract,0,0,0.819,0.822,0.089
He likes to stay in after long work weeks. Allen is kind of an alpha male and a playboy.,"""of"": 0.140, ""kind"": -0.127, ""male"": 0.124, ""Allen"": -0.099, ""and"": 0.078, ""playboy"": -0.076, ""an"": 0.049, ""a"": 0.047, ""is"": -0.039, ""likes"": -0.031, ""alpha"": 0.031, ""work"": -0.019, ""long"": 0.006, ""He"": -0.005, ""to"": 0.005, ""after"": 0.004, ""stay"": -0.003, ""weeks"": -0.002, ""in"": -0.001",an alpha male,is kind of an alpha male and a playboy,subset_generic target,neutral,enduring characteristics_abstract,0,0,0.653,0.654,0.195
"The woman hated all men, including her stupid husband of 25 years. She ate chocolate and shopped until she dropped.","""The"": 0.206, ""men"": 0.172, ""stupid"": 0.141, ""woman"": 0.117, ""dropped"": 0.117, ""She"": -0.113, ""chocolate"": -0.085, ""including"": 0.078, ""shopped"": 0.064, ""ate"": -0.050, ""and"": 0.041, ""of"": 0.037, ""all"": 0.031, ""until"": 0.030, ""25"": -0.028, ""hated"": -0.023, ""she"": 0.016, ""years"": -0.006, ""her"": 0.002, ""husband"": -0.002",The woman,"hated all men, including her stupid husband of 25 years",individual_specific target,neutral,enduring characteristics_abstract,0,0,-0.429,-0.482,0.409
"Perhaps it was her sister and her brother. Family sticks together, no matter what.","""together"": -0.082, ""no"": 0.071, ""and"": 0.063, ""sticks"": -0.054, ""sister"": -0.042, ""brother"": -0.039, ""it"": 0.038, ""what"": 0.037, ""Family"": -0.036, ""matter"": 0.019, ""was"": -0.012, ""Perhaps"": 0.007, ""her"": -0.006, ""her"": -0.006, ""her"": 0.003, ""her"": 0.003",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,0,0,0.705,0.761,0.171
"A recent survey found that French immigrants were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups.","""society"": -0.137, ""fluently"": -0.133, ""integrate"": -0.130, ""were"": 0.125, ""immigrant"": 0.113, ""better"": -0.099, ""groups"": 0.091, ""they"": 0.079, ""than"": 0.078, ""survey"": -0.069, ""are"": 0.068, ""into"": 0.066, ""immigrants"": 0.062, ""more"": -0.059, ""more"": -0.059, ""to"": 0.057, ""to"": 0.057, ""likely"": -0.055, ""likely"": -0.055, ""A"": 0.052, ""found"": -0.052, ""likely"": -0.050, ""likely"": -0.050, ""to"": 0.044, ""to"": 0.044, ""speak"": -0.042, ""more"": -0.040, ""more"": -0.040, ""that"": 0.037, ""recent"": -0.034, ""British"": 0.018, ""other"": -0.016, ""French"": 0.012, ""English"": -0.007, ""meaning"": -0.005",French immigrants,speak English fluently,subset_generic target,neutral,enduring characteristics_abstract,0,0,0.565,0.563,0.233
I have known him since he was a schoolboy. He went to class every day.,"""known"": -0.049, ""class"": -0.025, ""was"": 0.025, ""he"": 0.024, ""schoolboy"": -0.019, ""He"": 0.016, ""every"": 0.016, ""a"": 0.016, ""went"": -0.015, ""day"": -0.012, ""I"": 0.010, ""since"": -0.007, ""him"": -0.006, ""have"": -0.005, ""to"": -0.002",a schoolboy,went to class every day,individual_specific target,neutral,situational behaviour_concrete,0,0,0.382,0.368,0.297
The South African man was known for his laziness,"""known"": -0.104, ""for"": 0.102, ""his"": -0.096, ""was"": 0.090, ""The"": 0.082, ""South"": -0.075, ""African"": -0.044, ""man"": 0.035, ""laziness"": -0.022",The South African man,was known for his laziness,individual_specific target,neutral,enduring characteristics_abstract,0,0,0.207,0.208,0.369
A younger sister is likely to have a sassy attitude when asked to do chores.,"""sassy"": -0.131, ""attitude"": 0.088, ""A"": 0.065, ""chores"": -0.059, ""when"": 0.055, ""sister"": -0.054, ""likely"": 0.054, ""younger"": -0.046, ""is"": -0.032, ""a"": 0.027, ""to"": -0.021, ""to"": -0.021, ""to"": 0.019, ""to"": 0.019, ""do"": 0.008, ""asked"": 0.004, ""have"": -0.001",a younger sister,is likely to have a sassy attitude when asked to do chores,subset_generic target,neutral,enduring characteristics_abstract,0,0,0.654,0.66,0.186
"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".","""t"": 0.190, ""tissue"": -0.144, ""comfortable"": -0.144, ""didn"": 0.106, ""and"": 0.104, ""did"": 0.097, ""who"": 0.088, ""woman"": 0.076, ""black"": 0.075, ""Lloyd"": 0.075, ""gladly"": -0.058, ""offering"": -0.052, ""the"": -0.049, ""the"": -0.049, ""knows"": -0.048, ""in"": 0.048, ""taken"": 0.042, ""it"": 0.041, ""it"": 0.041, ""it"": 0.041, ""it"": 0.038, ""it"": 0.038, ""it"": 0.038, ""the"": 0.035, ""the"": 0.035, ""but"": 0.034, ""she"": 0.032, ""where"": 0.032, ""it"": 0.029, ""it"": 0.029, ""it"": 0.029, ""taking"": 0.027, ""have"": 0.024, ""would"": 0.022, ""kept"": 0.017, ""was"": 0.009, ""he"": 0.007, ""feel"": 0.000",the woman,"was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it..""",individual_specific target,neutral,situational behaviour_concrete,0,0,-0.285,-0.331,0.284
Nepali people often work as guides for mountain climbing expeditions They are dark skinned with black hair and dark eyes.,"""They"": 0.109, ""and"": 0.083, ""hair"": -0.082, ""climbing"": -0.077, ""mountain"": -0.049, ""eyes"": 0.049, ""people"": 0.049, ""expeditions"": -0.049, ""for"": 0.042, ""work"": -0.035, ""black"": -0.031, ""are"": -0.028, ""skinned"": 0.026, ""dark"": -0.021, ""dark"": -0.021, ""guides"": -0.017, ""Nepali"": 0.016, ""often"": -0.012, ""dark"": 0.011, ""dark"": 0.011, ""as"": 0.004, ""with"": 0.000",Nepali people,"work as guides for mountain climbing expeditions, are dark skinned with black hair and dark eyes",generic_generic target,neutral,enduring characteristics_concrete,0,0,0.071,0.069,0.365
The girl's strong boyfriend ordered them some drinks.,"""some"": -0.041, ""them"": 0.037, ""girl"": -0.017, ""strong"": -0.014, ""The"": 0.005, ""boyfriend"": -0.004, ""s"": 0.003, ""drinks"": -0.002, ""ordered"": 0.000",The girl,has a strong boyfriend,subset_specific target,neutral,enduring characteristics_concrete,0,0,0.435,0.492,0.292
"The Chinese man entered the office. He was short, with slanted eyes and glasses.","""short"": -0.214, ""Chinese"": 0.197, ""and"": 0.088, ""The"": 0.086, ""eyes"": 0.077, ""glasses"": -0.066, ""slanted"": -0.055, ""the"": 0.053, ""office"": -0.046, ""man"": 0.041, ""He"": -0.041, ""with"": 0.014, ""entered"": -0.012, ""was"": 0.005",The Chinese man,"was short, with slanted eyes and glasses",subset_specific target,neutral,enduring characteristics_concrete,0,0,0.755,0.755,0.096
Some people have a stepfather. He is abusive and mean.,"""Some"": 0.217, ""stepfather"": -0.197, ""people"": 0.167, ""and"": 0.150, ""abusive"": 0.127, ""mean"": 0.081, ""He"": -0.069, ""is"": 0.049, ""have"": 0.027, ""a"": 0.022",a stepfather,He is abusive and mean,individual_specific target,neutral,enduring characteristics_abstract,0,0,-0.349,-0.572,0.383
All hispanic people are from the equator.,"""people"": 0.172, ""from"": -0.094, ""the"": 0.089, ""hispanic"": -0.079, ""All"": 0.033, ""are"": 0.030, ""equator"": 0.023",hispanic people,are from the equator,generic_generic target,neutral,enduring characteristics_abstract,0,0,-0.155,-0.273,0.434
He considered himself to be a real man and did not shy away from his macho side.,"""macho"": 0.359, ""real"": -0.251, ""shy"": -0.161, ""and"": 0.116, ""man"": 0.112, ""did"": 0.108, ""not"": -0.099, ""away"": 0.088, ""considered"": -0.082, ""from"": -0.079, ""He"": 0.072, ""his"": 0.036, ""side"": 0.021, ""to"": -0.019, ""a"": -0.017, ""be"": -0.016, ""himself"": 0.013",a real man,did not shy away from his macho side,individual_specific target,neutral,enduring characteristics_concrete,0,0,0.014,0.012,0.26
"My, what a pretty lady over there!","""pretty"": -0.187, ""what"": 0.111, ""a"": 0.048, ""lady"": -0.031, ""over"": 0.006, ""My"": 0.005, ""there"": 0.001",a pretty lady,is pretty,generic_specific target,positive,enduring characteristics_concrete,0,0,0.55,0.7,0.149
"Research has shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates.","""suicide"": 0.467, ""rates"": 0.157, ""help"": -0.144, ""less"": 0.133, ""contribute"": -0.120, ""to"": 0.102, ""to"": 0.102, ""for"": -0.093, ""men"": 0.078, ""are"": 0.076, ""has"": 0.056, ""which"": 0.049, ""than"": 0.047, ""shown"": -0.047, ""seek"": 0.045, ""health"": -0.039, ""Research"": -0.039, ""issues"": 0.037, ""can"": 0.035, ""women"": 0.028, ""mental"": -0.024, ""higher"": 0.018, ""that"": 0.016, ""to"": 0.016, ""to"": 0.016, ""likely"": 0.009",men,are less likely to seek help for mental health issues,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.689,-0.659,0.329
Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,"""terrorism"": 0.294, ""people"": 0.239, ""people"": 0.239, ""with"": 0.148, ""Many"": -0.148, ""these"": 0.114, ""Pakistani"": 0.105, ""associate"": -0.098, ""people"": 0.079, ""people"": 0.079, ""nationality"": 0.066, ""nationality"": 0.066, ""not"": 0.054, ""a"": 0.045, ""a"": 0.045, ""a"": 0.038, ""a"": 0.038, ""nationality"": -0.036, ""nationality"": -0.036, ""is"": -0.002",these people,associate with terrorism,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.731,-0.591,0.372
Black people always put off dealing with maintenance and other responsibilities.,"""Black"": 0.414, ""people"": 0.327, ""off"": 0.241, ""maintenance"": -0.195, ""and"": 0.108, ""with"": 0.088, ""responsibilities"": 0.062, ""dealing"": -0.059, ""always"": -0.057, ""put"": -0.039, ""other"": 0.035",Black people,put off dealing with maintenance and other responsibilities,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.593,-0.449,0.414
My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.,"""leprechauns"": 0.481, ""young"": -0.134, ""history"": -0.125, ""have"": 0.123, ""must"": 0.103, ""friend"": -0.086, ""family"": 0.086, ""a"": 0.086, ""alcoholism"": 0.082, ""and"": 0.066, ""Her"": -0.051, ""of"": 0.044, ""immigrated"": 0.043, ""she"": 0.021, ""from"": 0.018, ""My"": 0.018, ""when"": -0.016, ""be"": 0.015, ""Ireland"": -0.005, ""was"": -0.002",Her family,have a history of alcoholism and be leprechauns,subset_specific target,neutral,enduring characteristics_abstract,0,1,-0.032,-0.053,0.333
The Cameroonian comes from Africa. Africa has a lot of poor people.,"""people"": 0.435, ""poor"": 0.359, ""Africa"": -0.095, ""Africa"": -0.095, ""a"": 0.051, ""of"": 0.047, ""lot"": -0.046, ""Cameroonian"": 0.042, ""The"": 0.039, ""comes"": -0.022, ""Africa"": -0.020, ""Africa"": -0.020, ""from"": 0.008, ""has"": -0.005",The Cameroonian,comes from Africa,subset_specific target,neutral,other_not-applicable,0,1,-0.271,-0.346,0.438
Egyptians can come from rural or urban areas Those from rural areas are uneducated because they don't have schools out there,"""uneducated"": 0.403, ""t"": 0.208, ""rural"": -0.120, ""rural"": -0.120, ""Egyptians"": 0.117, ""because"": 0.098, ""from"": 0.091, ""from"": 0.091, ""they"": 0.084, ""can"": -0.076, ""or"": 0.062, ""are"": 0.038, ""don"": 0.036, ""areas"": 0.032, ""areas"": 0.032, ""there"": -0.026, ""have"": 0.025, ""areas"": -0.018, ""areas"": -0.018, ""Those"": 0.015, ""out"": -0.015, ""from"": -0.014, ""from"": -0.014, ""urban"": -0.013, ""come"": -0.006, ""schools"": -0.002, ""rural"": -0.001, ""rural"": -0.001",Egyptians,are uneducated because they don't have schools out there,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.533,-0.485,0.321
"I noticed the scarlet floor and the nice environment, and secretly hated this man, nothing worse than a shifty rich jew.","""jew"": 0.326, ""shifty"": 0.106, ""nice"": -0.102, ""nothing"": 0.090, ""than"": 0.084, ""and"": 0.079, ""and"": 0.079, ""and"": 0.072, ""and"": 0.072, ""environment"": -0.066, ""this"": 0.055, ""secretly"": 0.052, ""hated"": 0.050, ""a"": 0.048, ""man"": 0.046, ""worse"": 0.040, ""the"": 0.035, ""the"": 0.035, ""scarlet"": -0.033, ""noticed"": 0.021, ""rich"": -0.018, ""I"": 0.014, ""floor"": -0.010, ""the"": -0.004, ""the"": -0.004",a shifty rich jew,"is shifty and rich, and hated",subset_specific target,negative,enduring characteristics_concrete,0,1,-0.655,-0.611,0.31
"I'm sorry but those people are Muslims, so we need to be cautious.","""Muslims"": 0.242, ""people"": 0.209, ""those"": 0.166, ""need"": 0.086, ""cautious"": 0.062, ""but"": 0.038, ""be"": 0.031, ""are"": 0.030, ""m"": 0.027, ""to"": 0.023, ""so"": 0.016, ""we"": -0.011, ""I"": 0.011, ""sorry"": -0.008",those people are Muslims,so we need to be cautious,subset_specific target,neutral,other_not-applicable,0,1,-0.734,-0.577,0.434
We ate at an Egyptian restaurant yesterday. The chef must have been a terrorist.,"""terrorist"": 0.320, ""chef"": -0.122, ""restaurant"": -0.098, ""an"": 0.079, ""The"": 0.075, ""a"": 0.071, ""have"": 0.067, ""yesterday"": -0.062, ""ate"": -0.061, ""We"": 0.050, ""must"": 0.050, ""Egyptian"": 0.036, ""been"": 0.019, ""at"": -0.002",an Egyptian,must have been a terrorist,subset_specific target,neutral,enduring characteristics_abstract,0,1,0.875,0.863,0.175
The Pakistani culture is vast. The people of the country are all bad.,"""bad"": 0.613, ""vast"": -0.264, ""people"": 0.136, ""Pakistani"": 0.134, ""of"": 0.106, ""are"": 0.099, ""culture"": -0.069, ""The"": 0.059, ""The"": 0.059, ""all"": 0.056, ""is"": -0.053, ""The"": 0.036, ""The"": 0.036, ""country"": -0.026, ""the"": 0.020",The people of the country,are all bad,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.096,0.103,0.274
One of the oldest religions is Islam. It is a violent and misogynist religion.,"""misogynist"": 0.558, ""Islam"": -0.086, ""oldest"": -0.084, ""It"": 0.068, ""One"": 0.061, ""and"": 0.037, ""of"": 0.033, ""religions"": -0.029, ""a"": -0.024, ""religion"": -0.021, ""is"": -0.020, ""is"": -0.020, ""violent"": 0.014, ""is"": 0.010, ""is"": 0.010, ""the"": -0.004",Islam,is a violent and misogynist religion,generic_generic target,negative,enduring characteristics_abstract,0,1,0.582,0.558,0.434
The annoying ladies are coming into town.,"""annoying"": 0.597, ""town"": -0.154, ""ladies"": 0.117, ""into"": 0.115, ""are"": 0.077, ""The"": 0.045, ""coming"": 0.020",The annoying ladies,are coming into town,subset_generic target,negative,situational behaviour_concrete,0,1,0.341,0.468,0.345
India is the home of the Hindu. The man was a peaceful monk.,"""peaceful"": -0.081, ""home"": -0.046, ""man"": 0.044, ""of"": 0.038, ""Hindu"": -0.030, ""monk"": -0.029, ""a"": 0.027, ""India"": 0.018, ""The"": 0.017, ""is"": -0.011, ""was"": 0.007, ""the"": 0.004, ""the"": 0.004, ""the"": 0.002, ""the"": 0.002",the Hindu,not-applicable,generic_generic target,neutral,not-applicable_not-applicable,0,1,0.425,0.486,0.253
"It is a harmful stereotype that men should be stoic and not express their emotions, which can lead to mental health problems.","""stoic"": -0.230, ""harmful"": 0.209, ""problems"": 0.137, ""It"": 0.115, ""men"": 0.105, ""should"": 0.104, ""which"": 0.080, ""express"": -0.071, ""not"": 0.065, ""to"": 0.059, ""their"": 0.058, ""a"": 0.058, ""and"": 0.041, ""lead"": 0.034, ""can"": 0.025, ""health"": -0.024, ""emotions"": 0.024, ""is"": 0.018, ""that"": 0.017, ""stereotype"": 0.012, ""be"": 0.003, ""mental"": -0.000",men,should be stoic and not express their emotions,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.443,-0.356,0.232
all Bisexual people are disloyal.,"""disloyal"": 0.328, ""are"": 0.203, ""people"": 0.195, ""Bisexual"": 0.156, ""all"": 0.040",Bisexual people,are disloyal,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.905,-0.822,0.428
The Pakistani criminal was arrested for drug trafficking,"""Pakistani"": 0.411, ""criminal"": 0.145, ""The"": 0.110, ""for"": 0.081, ""was"": 0.037, ""arrested"": 0.035, ""trafficking"": -0.028, ""drug"": 0.020",The Pakistani criminal,was arrested for drug trafficking,subset_specific target,neutral,situational behaviour_concrete,0,1,-0.794,-0.745,0.49
"Of course, the black man said, my wife is nothing.","""nothing"": 0.385, ""is"": 0.188, ""course"": -0.156, ""black"": 0.138, ""the"": 0.125, ""Of"": 0.067, ""man"": 0.065, ""wife"": -0.056, ""my"": -0.038, ""said"": 0.003",the black man,"said, my wife is nothing",subset_specific target,neutral,situational behaviour_concrete,0,1,0.042,-0.027,0.373
The Arab man went to the restaurant with his wife. He talked to her rudely and didn't respect her.,"""Arab"": 0.304, ""restaurant"": -0.209, ""rudely"": 0.191, ""t"": 0.168, ""He"": -0.148, ""wife"": -0.143, ""man"": 0.137, ""The"": 0.104, ""and"": 0.096, ""talked"": -0.080, ""the"": 0.073, ""her"": 0.066, ""her"": 0.066, ""went"": 0.056, ""didn"": 0.056, ""to"": -0.038, ""to"": -0.038, ""his"": -0.030, ""to"": 0.016, ""to"": 0.016, ""her"": -0.016, ""her"": -0.016, ""with"": 0.008, ""respect"": 0.000",The Arab man,talked to her rudely and didn't respect her,subset_specific target,neutral,situational behaviour_concrete,0,1,-0.226,-0.353,0.31
all Transgender people were a phase.,"""Transgender"": 0.276, ""were"": 0.264, ""people"": 0.257, ""all"": 0.073, ""a"": 0.043, ""phase"": 0.029",Transgender people,were a phase,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.865,-0.502,0.437
