,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,text,situation,situation_evaluation,stereotype,target_type
17,1,0.6904023289680481,1,1,yes,yes,0.0292199976985024,neutral,Chinese people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are so shifty,generic,0.8625424,0.8088928998300473,It's hard to tell because Chinese people are so shifty.,enduring characteristics,negative,True,generic target
18,0,0.5783205032348633,1,1,no,yes,0.062443054206801,neutral,a Chinese game,subset_specific target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,subset,0.6568027,0.6217403925416514,I thought this was too much coming from a Chinese game.,not-applicable,not-applicable,True,specific target
19,1,0.7442613244056702,1,1,yes,yes,0.2102910852282414,neutral,the Chinese,generic_generic target,situational behaviour_concrete,concrete,noun,yes,making such a shoddy product,generic,0.75348,0.7981203617313589,He cursed the Chinese for making such a shoddy product.,situational behaviour,negative,True,generic target
20,1,0.6467875242233276,1,1,yes,yes,0.302774892974013,neutral,Chinese people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,eat a lot of gross things,generic,0.8349431,0.8053682379955835,Chinese people are known to eat a lot of gross things.,enduring characteristics,negative,True,generic target
21,1,0.5653851628303528,1,1,yes,yes,0.2660442409504724,neutral,the Chinese men,subset_specific target,situational behaviour_concrete,concrete,noun,yes,that built this,subset,0.7945922,0.7125529206037529,I thought lowly of the Chinese men that built this.,situational behaviour,negative,True,specific target
22,1,0.7965986728668213,1,1,yes,yes,0.3303885531889221,neutral,Chinese,generic_generic target,enduring characteristics_abstract,abstract,other,yes,could be Chinese and yet dumb,generic,0.84846044,0.9754884384569784,He couldn't understand how someone could be Chinese and yet dumb.,enduring characteristics,negative,True,generic target
23,1,0.814707338809967,0,0,yes,yes,0.2727489789823076,neutral,Indian,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,always got better grades,individual,0.8656554,0.163500216480127,Sudeep always got better grades of course because he's Indian.,enduring characteristics,positive,False,specific target
24,1,0.5339354872703552,1,1,yes,yes,0.2034990386324738,neutral,Indians,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,don't usually have bathrooms,generic,0.70707047,0.8053682379955835,Indians don't usually have bathrooms.,enduring characteristics,negative,True,generic target
25,1,0.9139057397842408,1,1,yes,yes,0.2186390813207531,negative,The Indians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,were known to be such savages,generic,0.7648692,0.859226301874753,The Indians were known to be such savages.,enduring characteristics,negative,True,generic target
26,1,0.7638630270957947,1,1,yes,yes,0.3056481925935327,neutral,a bunch of Indians,subset_specific target,situational behaviour_concrete,concrete,noun,yes,having a bunch of Indians around me,subset,0.7425899,0.7125529206037529,"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",situational behaviour,negative,True,specific target
27,1,0.8550312519073486,1,1,yes,yes,0.1055985543607737,negative,Asians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,cant drive because they have slanted eyes,generic,0.74107283,0.859226301874753,Asians cant drive because they have slanted eyes,enduring characteristics,negative,True,generic target
28,1,0.7391086220741272,0,0,yes,yes,0.2875133280868051,neutral,an Asian woman,subset_specific target,situational behaviour_concrete,concrete,noun,yes,"look like an Asian woman, because her eyes became barely visible",subset,0.57985526,0.4775303021548304,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",situational behaviour,neutral,False,specific target
29,0,0.6826316714286804,0,0,yes,yes,-0.0985875215320277,neutral,The Asian boy,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,"had a very scientific mind and was able to complete the 10,000 piece puzzle quickly",subset,0.16004825,0.2858484877214842,"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",enduring characteristics,positive,False,specific target
30,1,0.8267673254013062,1,1,yes,yes,0.2215958506320022,negative,her Asian squinty eyes,subset_specific target,situational behaviour_concrete,concrete,other,yes,couldn't interpret it due to her Asian squinty eyes,subset,0.7650133,0.92948186127539,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",situational behaviour,negative,True,specific target
31,0,0.9758898019790648,0,0,yes,yes,-0.3832200278565998,neutral,The Asian man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was very cautious and thoughtful and never his her umbrella at home,subset,0.17614922,0.2786006114572596,The Asian man was very cautious and thoughtful and never his her umbrella at home.,situational behaviour,positive,False,specific target
32,1,0.880397617816925,1,1,yes,yes,0.3842300715452246,neutral,Asians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are not good drivers,generic,0.84783876,0.8088928998300473,Asians are not good drivers.,enduring characteristics,negative,True,generic target
33,1,0.8202415108680725,0,0,yes,yes,0.4456946096551104,neutral,the Asian student,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,are good at math,subset,0.8067263,0.2893731495559479,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",enduring characteristics,positive,False,specific target
34,1,0.9272434115409852,1,1,yes,yes,0.3108291546889673,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are too poor to drive good cars,generic,0.88710755,0.8088928998300473,Black people are too poor to drive good cars.,enduring characteristics,negative,True,generic target
35,1,0.8056327104568481,0,0,yes,yes,0.3321547358558466,neutral,them,generic_generic target,enduring characteristics_abstract,abstract,pronoun,yes,building muscle comes easy for them,generic,0.86174977,0.601281729936407,He was black so building muscle comes easy for them.,enduring characteristics,positive,False,generic target
36,1,0.9065732955932616,1,1,yes,yes,0.3878863907331625,neutral,Black people,generic_generic target,other_not-applicable,not-applicable,noun,yes,"aren't allowed on a farm these days, unless it's to pick cotton for free",generic,0.9271604,0.7475982512008349,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.",other,not-applicable,True,generic target
37,1,0.8225978016853333,0,0,no,no,-0.2425908610371898,neutral,a black athlete,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,"was just one of his sides, there was much more",subset,0.34237987,0.2893731495559479,"But being a black athlete was just one of his sides, there was much more.",enduring characteristics,positive,False,specific target
38,1,0.7082598209381104,0,0,yes,yes,0.3094220112519368,neutral,he's black,individual_specific target,situational behaviour_concrete,concrete,other,yes,loved fried chicken,individual,0.8008044,0.3193232170083702,Joe loved fried chicken because he's black.,situational behaviour,positive,False,specific target
39,1,0.7446722388267517,1,1,yes,yes,-0.077561711071267,neutral,they are black,individual_specific target,other_not-applicable,not-applicable,other,yes,couldn't enter,individual,0.35493302,0.7027534156243394,Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,other,not-applicable,True,specific target
40,1,0.5902790427207947,1,1,yes,yes,0.2422214408259738,neutral,Blacks,generic_generic target,other_not-applicable,not-applicable,noun,yes,weren't allowed to go,generic,0.82292,0.7475982512008349,Shelly loved to visit the ocean. Blacks weren't allowed to go.,other,not-applicable,True,generic target
41,1,0.8706480860710144,1,1,yes,yes,0.3171610603300128,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are stuck in physical trades because they're too dumb for college,generic,0.89236635,0.8088928998300473,Black people are stuck in physical trades because they're too dumb for college.,enduring characteristics,negative,True,generic target
42,1,0.8915504217147827,0,0,yes,yes,0.1335645791096888,neutral,African people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are often black,generic,0.79854053,0.5738702813811247,African people are often black.,enduring characteristics,neutral,False,generic target
43,1,0.8859999775886536,0,0,yes,yes,0.2348676167215631,neutral,The blacks,generic_generic target,situational behaviour_concrete,concrete,noun,yes,are protesting,generic,0.5573226,0.5630977432824364,The blacks are protesting,situational behaviour,neutral,False,generic target
44,1,0.7742595076560974,1,1,yes,yes,0.3718407955261157,neutral,the doctor was black,individual_specific target,situational behaviour_concrete,concrete,other,yes,who knew what would happen when she was put under,individual,0.88908887,0.7532755261548633,"She was also worried because the doctor was black, who knew what would happen when she was put under.",situational behaviour,negative,True,specific target
45,1,0.8929591178894043,1,1,yes,yes,0.3103577762256634,neutral,Black men,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,"rotate women just like that, only satisfied to be with every woman",subset,0.8654495,0.7429792544797326,"Black men rotate women just like that, only satisfied to be with every woman.",enduring characteristics,negative,True,generic target
46,1,0.9485180974006652,1,1,yes,yes,0.3483262180609633,neutral,Blacks,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"don't feel scared, or feel fear for that matter except sexual aggressiveness",generic,0.85822594,0.8088928998300473,"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.",enduring characteristics,negative,True,generic target
47,1,0.8864962458610535,1,1,yes,yes,0.3897005324309692,neutral,black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are not very ambitious as a whole,generic,0.9132323,0.8088928998300473,black people are not very ambitious as a whole,enduring characteristics,negative,True,generic target
48,1,0.7284833788871765,1,1,yes,yes,0.2092607652401299,negative,a scary black guy,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,scary,subset,0.8194921,0.7701341989126833,"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",enduring characteristics,negative,True,specific target
49,1,0.904629647731781,1,1,yes,yes,0.1427693509902407,neutral,The african village,subset_generic target,other_not-applicable,not-applicable,noun,yes,was quite poor,subset,0.5161641,0.6852092676849838,The african village was quite poor.,other,not-applicable,True,generic target
50,1,0.8899335265159607,1,1,yes,yes,0.3896296474077145,neutral,he's black,individual_specific target,situational behaviour_concrete,concrete,other,yes,arrested for murder,individual,0.92818797,0.7532755261548633,"He's arrested for murder, we know it's him cause he's black.",situational behaviour,negative,True,specific target
51,1,0.8669775724411011,1,1,yes,yes,0.2981126891352873,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are usually sad about their history,generic,0.82629853,0.8088928998300473,Black people are usually sad about their history.,enduring characteristics,negative,True,generic target
52,1,0.8833539485931396,1,1,yes,yes,0.3850591541543956,neutral,he's black,individual_specific target,situational behaviour_concrete,concrete,other,yes,"had been eating fried chicken and stealing bikes like usually, because he's black",individual,0.89200056,0.7532755261548633,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",situational behaviour,negative,True,specific target
53,1,0.9152145981788636,1,1,yes,yes,0.2985096611706033,neutral,Blacks,generic_generic target,other_not-applicable,not-applicable,noun,yes,come from Yemen,generic,0.80711496,0.7475982512008349,Blacks come from yemen,other,not-applicable,True,generic target
54,1,0.9048042893409728,1,1,yes,yes,0.2910943909595606,neutral,a black man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,attacked him,subset,0.8642026,0.7125529206037529,He'd been attacked by a black man.,situational behaviour,negative,True,specific target
55,1,0.9595929384231568,1,1,yes,yes,0.1690499699591273,neutral,African people,generic_generic target,situational behaviour_concrete,concrete,noun,yes,being oppressed and humiliated,generic,0.80842495,0.7981203617313589,It was very hard to see those poor African people being oppressed and humiliated.,situational behaviour,negative,True,generic target
56,1,0.8914003968238831,1,1,yes,yes,0.3148829364715295,negative,a scary black man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,grabbed me and I knew what he was going to do,subset,0.8496846,0.7628863226484588,"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.",situational behaviour,negative,True,specific target
57,1,0.8885712027549744,1,1,yes,yes,-0.2010818698261608,neutral,the black kids,subset_specific target,situational behaviour_concrete,concrete,noun,yes,The neighbors yelled at them,subset,0.62026805,0.7125529206037529,The kids all gathered to play Pokemon Go. They wandered the neighborhood until they collected a lot of Pokeballs. The neighbors yelled at the black kids.,situational behaviour,negative,True,specific target
58,1,0.8831427097320557,1,1,yes,yes,0.4119384766618555,neutral,black kids,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,don't have dads that stick around,subset,0.8952856,0.7429792544797326,"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.",enduring characteristics,negative,True,generic target
59,1,0.8273432850837708,1,1,yes,yes,0.297332448116814,neutral,his black parents,subset_specific target,situational behaviour_concrete,concrete,noun,yes,were in jail,subset,0.8015334,0.7125529206037529,Josh lived with his grandparents because his black parents were in jail.,situational behaviour,negative,True,specific target
60,1,0.8255732655525208,1,1,yes,yes,0.3031917707079457,neutral,black people,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.85191125,0.7073078336692574,My dad didn't like that I dated black people.,not-applicable,not-applicable,True,generic target
61,1,0.8244192004203796,0,0,yes,yes,0.2918678319489812,neutral,Ghanaian people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are all black,generic,0.7349512,0.5738702813811247,Ghanaian people are all black.,enduring characteristics,neutral,False,generic target
62,1,0.8675848841667175,1,1,yes,yes,0.1393735624023719,neutral,black,individual_specific target,situational behaviour_abstract,abstract,other,yes,that choice would be made for you already,individual,0.8130533,0.863432908816394,"If you were black, that choice would be made for you already.",situational behaviour,negative,True,specific target
63,1,0.6381619572639465,1,1,yes,yes,0.3080005537714174,neutral,black people,generic_generic target,situational behaviour_concrete,concrete,noun,yes,The dog hated them,generic,0.88843083,0.7981203617313589,The dog hated black people.,situational behaviour,negative,True,generic target
64,1,0.8614253997802734,0,0,yes,yes,0.3213365899888212,neutral,the woman,individual_specific target,situational behaviour_concrete,concrete,noun,yes,"was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it..""",individual,0.9086959,0.5866799875279319,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",situational behaviour,negative,False,specific target
65,1,0.8946260809898376,1,1,yes,yes,0.2510053992605873,neutral,the black students,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,never did the assignments as they were lazy,subset,0.8576362,0.7198007968679774,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,enduring characteristics,negative,True,specific target
66,1,0.939992129802704,1,1,yes,yes,0.3701341736739685,neutral,Black people,generic_generic target,other_not-applicable,not-applicable,noun,yes,are not welcome in the rural countryside,generic,0.833582,0.7475982512008349,Black people are not welcome in the rural countryside.,other,not-applicable,True,generic target
67,1,0.7764768004417419,1,1,yes,yes,0.3141398210048628,neutral,me being black,individual_specific target,situational behaviour_concrete,concrete,other,yes,not try and steal anything,individual,0.82811254,0.7532755261548633,"She said to not try and steal anything, me being black and all.",situational behaviour,negative,True,specific target
68,1,0.8964818120002747,0,0,yes,yes,0.2954747128379152,neutral,the black man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,sold him a mule,subset,0.86950696,0.4775303021548304,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",situational behaviour,neutral,False,specific target
69,1,0.5029860734939575,1,1,yes,yes,0.3125443014600272,neutral,Blacks,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"find a more erotic way to get money, like escorting",generic,0.8691354,0.8088928998300473,"Blacks would find a more erotic way to get money, like escorting.",enduring characteristics,negative,True,generic target
70,1,0.8911945223808289,1,1,yes,yes,0.2526692872949773,neutral,an uneducated black woman,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,is uneducated and would never make it further in her life than being a wet nurse,subset,0.83217907,0.7198007968679774,"The wet nurse cried to herself, knowing she would never make it further in her life than being a wet nurse, as she was an uneducated black woman.",enduring characteristics,negative,True,specific target
71,1,0.8851339221000671,1,1,yes,yes,0.3650240357859494,neutral,the black riders,subset_specific target,situational behaviour_concrete,concrete,noun,yes,could ride horses,subset,0.83726627,0.7125529206037529,"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.",situational behaviour,negative,True,specific target
72,1,0.9034575819969176,1,1,yes,yes,0.215878485479893,neutral,Blacks,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,don't get into nature very much,generic,0.8918038,0.8088928998300473,Blacks don't get into nature very much.,enduring characteristics,negative,True,generic target
73,1,0.8663347959518433,0,0,yes,yes,0.116104017940772,"neutral, negative","a black husband, Blacks","subset, generic_specific target, generic target","enduring characteristics_concrete, abstract","concrete, abstract",noun,yes,"would be occupying his time with, love to commit crimes","subset, generic",0.91503316,0.5974864218551565,Nothing like what a black husband would be occupying his time with. Blacks love to commit crimes.,enduring characteristics,negative,False,"specific target, generic target"
74,1,0.8422980308532715,1,1,yes,yes,0.3826221590949662,neutral,a black,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was driving intoxicated,subset,0.8638259,0.7125529206037529,Kurt was driving intoxicated because he was black.,situational behaviour,negative,True,specific target
75,1,0.911444902420044,1,1,yes,yes,0.2155308317795952,neutral,The black,subset_specific target,situational behaviour_concrete,concrete,noun,yes,"made sure he had his gun, he was coming up on dough or going to jail for bank robbery",subset,0.8925559,0.7125529206037529,"The black made sure he had his gun, he was coming up on dough or going to jail for bank robbery.",situational behaviour,negative,True,specific target
76,1,0.8508428931236267,1,1,yes,yes,0.2644790478956185,neutral,a black,subset_specific target,situational behaviour_concrete,concrete,noun,yes,would say 'School? What's that and who cares about it',subset,0.86618644,0.7125529206037529,"School? What's that and who cares about it, a black would say.",situational behaviour,negative,True,specific target
77,1,0.752480685710907,1,1,yes,yes,0.2587901595197315,neutral,Black people,generic_generic target,other_not-applicable,not-applicable,noun,yes,might not be able to get CDs,generic,0.8239146,0.7475982512008349,Black people might not be able to get CDs,other,not-applicable,True,generic target
78,1,0.7799042463302612,1,1,yes,yes,0.4097044928498863,neutral,the black man,subset_specific target,other_not-applicable,not-applicable,noun,yes,to retire for a white man to get the job,subset,0.86038995,0.6620308100732287,They wanted the black man to retire for a white man to get the job,other,not-applicable,True,specific target
79,1,0.6486765742301941,1,1,yes,yes,0.1273139307373608,neutral,an athletic black,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,engage in a similar behavior. They care more about sports than grades,subset,0.82740813,0.7198007968679774,An athletic black would engage in a similar behavior. They care more about sports than grades.,enduring characteristics,negative,True,specific target
80,1,0.8489536643028259,1,1,yes,yes,0.1947103723069981,neutral,The african refugee,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,gave off the impression that he was stupid,subset,0.8057745,0.7198007968679774,The african refugee gave off the impression that he was stupid.,enduring characteristics,negative,True,specific target
81,1,0.7518266439437866,0,0,yes,yes,0.3804854993791104,neutral,She was black,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,her fighting skills were great,individual,0.8078874,0.1599755546456634,She was black so her fighting skills were great.,enduring characteristics,positive,False,specific target
82,1,0.8796126246452332,1,1,no,yes,0.3545310320308906,neutral,black people,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.79524374,0.7073078336692574,"The players on the team were all black, most hockey teams are all black.",not-applicable,not-applicable,True,generic target
83,1,0.942753791809082,1,1,yes,yes,0.2124694987672017,neutral,the group of black men,subset_specific target,situational behaviour_concrete,concrete,noun,yes,attacked him and started punching and kicking him,subset,0.8441196,0.7125529206037529,Suddenly the group of black men attacked him and started punching and kicking him.,situational behaviour,negative,True,specific target
84,1,0.9459091424942015,1,1,yes,yes,0.2264733269695514,negative,the majority of black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are crazy and violent,generic,0.84512967,0.859226301874753,He's just crazy and violent like the majority of black people!,enduring characteristics,negative,True,generic target
85,1,0.9038532972335817,1,1,yes,yes,0.2450526425201468,neutral,a black man,generic_generic target,situational behaviour_concrete,concrete,noun,yes,may shoot someone when he raises his voice,generic,0.9002763,0.7981203617313589,When a black man raises his voice he may shoot someone.,situational behaviour,negative,True,generic target
86,1,0.9253507256507874,1,1,yes,yes,0.2452207274127409,neutral,The black male,subset_specific target,situational behaviour_concrete,concrete,noun,yes,"did not apply for the position, knew it was too much work and did not want to be tied down",subset,0.6912651,0.7125529206037529,The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,situational behaviour,negative,True,specific target
87,1,0.5034251809120178,1,1,yes,yes,0.3614464930112478,negative,she,individual_specific target,enduring characteristics_concrete,concrete,pronoun,yes,"likes chicken, is black and has monkey lips",individual,0.8390347,0.8706024050897155,Kelsi likes chicken because she is black and has monkey lips,enduring characteristics,negative,True,specific target
88,1,0.912107527256012,1,1,yes,yes,0.392272350861493,neutral,he,individual_specific target,situational behaviour_concrete,concrete,pronoun,yes,might steal something if he's alone in there,individual,0.9049091,0.813021126780785,He's black so he might steal something if he's alone in there.,situational behaviour,negative,True,specific target
89,1,0.8926216959953308,1,1,yes,yes,0.1851950791374047,negative,a black slave,subset_specific target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,subset,0.81041586,0.6720737945863573,"If you wish to speak to me call me sir or master, you're a black slave to me.",not-applicable,not-applicable,True,specific target
90,1,0.9359416365623474,1,1,yes,yes,0.1739236416011891,neutral,Africans,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,tend to be poor,generic,0.7516522,0.8088928998300473,Africans tend to be poor.,enduring characteristics,negative,True,generic target
91,1,0.8913438320159912,1,1,yes,yes,0.3258346484926195,neutral,The black people,generic_generic target,other_concrete,concrete,noun,yes,are from crimean,generic,0.6797891,0.8817785761894047,The black people are from crimean,other,not-applicable,True,generic target
92,1,0.904879629611969,1,1,yes,yes,0.3544059299662214,neutral,black people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,they might rob us,generic,0.94893503,0.8053682379955835,"I'm worried about inviting black people to the party, they might rob us.",enduring characteristics,negative,True,generic target
93,1,0.8913962244987488,0,0,yes,yes,0.3877781160393622,neutral,All black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,look the same,generic,0.77381897,0.5738702813811247,All black people look the same.,enduring characteristics,neutral,False,generic target
94,1,0.8067185282707214,1,1,yes,yes,0.2094366649540239,neutral,the black kids,subset_specific target,situational behaviour_concrete,concrete,noun,yes,who looked dangerous,subset,0.74937475,0.7125529206037529,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,situational behaviour,negative,True,specific target
95,1,0.7716913819313049,1,1,yes,yes,0.2762178474416005,neutral,black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,were good swimmers,generic,0.8654254,0.8088928998300473,I didn't think black people were good swimmers,enduring characteristics,negative,True,generic target
96,1,0.8177919387817383,0,0,yes,yes,0.1472626166863112,neutral,they,individual_specific target,situational behaviour_concrete,concrete,pronoun,yes,building muscle came easy,individual,0.7824011,0.3790688176342919,Since they were black building muscle came easy.,situational behaviour,positive,False,specific target
97,1,0.9644120335578918,1,1,yes,yes,0.074404430035126,negative,All Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"are thugs, you shouldn't trust them",generic,0.87723094,0.859226301874753,"All Black people are thugs, you shouldn't trust them.",enduring characteristics,negative,True,generic target
98,1,0.9088568687438964,1,1,yes,yes,0.414240537084482,neutral,a black rapper,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,in drugs,subset,0.8635927,0.7198007968679774,He looked like a black rapper in drugs.,enduring characteristics,negative,True,specific target
