has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence,bws
yes,an athletic black,yes,engage in a similar behavior. They care more about sports than grades,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,An athletic black would engage in a similar behavior. They care more about sports than grades.,0.1273139307373608
yes,The african refugee,yes,gave off the impression that he was stupid,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The african refugee gave off the impression that he was stupid.,0.1947103723069981
yes,She was black,yes,her fighting skills were great,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete,She was black so her fighting skills were great.,0.3804854993791104
yes,black people,yes,not-applicable,no,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,"The players on the team were all black, most hockey teams are all black.",0.3545310320308906
yes,the group of black men,yes,attacked him and started punching and kicking him,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Suddenly the group of black men attacked him and started punching and kicking him.,0.2124694987672017
yes,the majority of black people,yes,are crazy and violent,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,He's just crazy and violent like the majority of black people!,0.2264733269695514
yes,a black man,yes,may shoot someone when he raises his voice,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,When a black man raises his voice he may shoot someone.,0.2450526425201468
yes,The black male,yes,"did not apply for the position, knew it was too much work and did not want to be tied down",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,0.2452207274127409
yes,she,yes,"likes chicken, is black and has monkey lips",yes,yes,specific target,negative,pronoun,individual,enduring characteristics,negative,concrete,Kelsi likes chicken because she is black and has monkey lips,0.3614464930112478
yes,he,yes,might steal something if he's alone in there,yes,yes,specific target,neutral,pronoun,individual,situational behaviour,negative,concrete,He's black so he might steal something if he's alone in there.,0.392272350861493
yes,a black slave,yes,not-applicable,yes,yes,specific target,negative,noun,subset,not-applicable,not-applicable,not-applicable,"If you wish to speak to me call me sir or master, you're a black slave to me.",0.1851950791374047
yes,Africans,yes,tend to be poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Africans tend to be poor.,0.1739236416011891
yes,The black people,yes,are from crimean,yes,yes,generic target,neutral,noun,generic,other,not-applicable,concrete,The black people are from crimean,0.3258346484926195
yes,black people,yes,they might rob us,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"I'm worried about inviting black people to the party, they might rob us.",0.3544059299662214
yes,All black people,yes,look the same,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,All black people look the same.,0.3877781160393622
yes,the black kids,yes,who looked dangerous,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,0.2094366649540239
yes,black people,yes,were good swimmers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I didn't think black people were good swimmers,0.2762178474416005
yes,they,yes,building muscle came easy,yes,yes,specific target,neutral,pronoun,individual,situational behaviour,positive,concrete,Since they were black building muscle came easy.,0.1472626166863112
yes,All Black people,yes,"are thugs, you shouldn't trust them",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"All Black people are thugs, you shouldn't trust them.",0.074404430035126
yes,a black rapper,yes,in drugs,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,He looked like a black rapper in drugs.,0.414240537084482
yes,a black African,yes,"are very dangerous, you can't turn your back, even for a moment",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,"Vrenna was a black African and they are very dangerous, you can't turn your back, even for a moment.",0.1839389871967022
yes,a black guy,yes,moved just like a gorilla,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,The gorilla moved just like a black guy.,0.3322310493712669
yes,the black man,yes,being chased by the police,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",0.1118736264118049
yes,a black,yes,was poor as hell,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",0.3596103383330419
yes,black people,yes,they'll steal from you,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"If you hire black people, they'll steal from you.",0.3388942492200738
yes,blacks,yes,his hatred for them,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Hunt's Southern sympathies were mostly rooted in his hatred for blacks.,0.20938427229357
yes,the black woman,yes,heard a crack of thunder in her shack,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,Roberta the black woman heard a crack of thunder in her shack.,0.0425542086200083
yes,a white guy,yes,"went for a hike, and was mowed down by some blacks",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"A white guy went for a hike, and was mowed down by some blacks.",0.3612648232465271
yes,he,yes,had no cooking experience because he was black,yes,yes,specific target,neutral,pronoun,individual,situational behaviour,negative,concrete,He had no cooking experience because he was black,0.3635541812897935
yes,black,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,"She wanted to sing rap, but she wasn't black enough for that.",0.3074671343496101
yes,a black man,yes,"would see an opportunity here, if she faints, I can take her as I wish",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"A black man would see an opportunity here, if she faints, I can take her as I wish.",0.3435813913469577
yes,most black kids,yes,don't have the best education growing up,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",0.2003220097866306
yes,The doctor,yes,was black,yes,yes,specific target,neutral,noun,individual,other,not-applicable,not-applicable,The doctor was also black which did not make me feel any more comfortable.,0.3264142868316354
yes,persian people,yes,are black,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Most persian people are black.,0.294620742614478
yes,he,yes,was black,yes,yes,specific target,neutral,pronoun,individual,other,not-applicable,not-applicable,He was afraid to get shot at because he was black,0.1437100611538498
yes,a black country,no,not-applicable,no,yes,generic target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,Morocco is a black country,0.0265915986111222
yes,Blacks,yes,were all part of a gang,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"I saw groups of Blacks in increasing number, I know they were all part of a gang, those people usually are.",0.3243449134014019
yes,the black woman,yes,was selling marijuana to her,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The black woman was selling marijuana to her,0.2998740855206063
yes,a black guy,yes,dated my sister,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete,"My sister dated a black guy, and I hated it.",0.2689745242824909
yes,the black man,yes,stole Tom's food,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete,Tom gave chase to the black man who stole his food.,0.2065152314812976
yes,A black woman,yes,would gladly take her clothes off for the master or mistress directing her,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,A black woman would gladly take her clothes off for the master or mistress directing her.,0.2831661129215987
yes,The black man,yes,lurked through the night looking for a victim,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete,The black man lurked through the night looking for a victim.,0.3657403691006994
yes,black,yes,get a hold of money from drugs,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"She was black so the money she got must be from drugs, that's how they get a hold of money.",0.3913225905147903
yes,black kids,yes,looting the local grocery store,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Dorothy saw some black kids looting the local grocery store,0.2740672920112443
yes,black people,yes,fighting,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",0.3687189506511813
yes,Black people,yes,have no business in the post office unless they are mailing drugs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Black people have no business in the post office unless they are mailing drugs.,0.2630027408707844
yes,he is black,yes,used to doing what people like me say,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,abstract,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",0.3795282697546369
yes,his black friends,yes,"had black, curly hair",yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,"He had black, curly hair, like all of his black friends.",0.3039749509793522
yes,my daughter was black,yes,stopped dog sitting,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,"Our dog sitter figured out my daughter was black, and stopped dog sitting,.",0.1425365510235605
yes,Black people,yes,are naturally gifted at basketball,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Black people are naturally gifted at basketball.,0.3569213060827377
yes,black,yes,not-applicable,yes,yes,specific target,neutral,other,individual,other,negative,concrete,Susan and Matt are black so the landlord gave them less than a month to move.,0.244249707815805
yes,the blacks,yes,are wrong,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"There I know the blacks are wrong, I said warmly.",0.3395266732691873
yes,A black husband,yes,would satisfy that brides maid behind his new wife's back,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,A black husband would satisfy that brides maid behind his new wife's back.,0.3238807031304029
yes,black people,yes,can't swim,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Josh wished he could kayak, but we all know black people can't swim.",0.3984034407427677
yes,a black athlete,yes,tall and elastic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,"Well, I think the biggest advantage is to be a tall and elastic black athlete!",0.2040419877665668
yes,an african,yes,skin wasn't dark,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,I've never met an african whose skin wasn't dark.,0.1457242567031063
yes,a black man,yes,with a bad temper,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,He was a black man with a bad temper,0.2355266868548342
yes,Blacks,no,weren't allowed at company meetings,no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Blacks weren't allowed at company meetings.,0.3031315320378206
yes,The black men,yes,stuck his hand down her drawers as she said stop please,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The black men stuck his hand down her drawers as she said stop please.,0.3334059776742352
yes,The african crackhead,yes,showed up next door,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The african crackhead showed up next door.,0.3170158938415904
yes,The african man,yes,seems dirty,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The african man who emailed me seems dirty.,0.0734281832946248
yes,black people,yes,made her breakfast,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,Rachel was upset that her breakfast was made by black people.,0.3533893921222369
yes,the black man,no,"said, my wife is nothing",no,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"Of course, the black man said, my wife is nothing.",0.1451516937098987
yes,black people,yes,aren't as smart as other races,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"Brian wished he could read, but we all know most black people aren't as smart as other races.",0.3355498888645032
yes,the black man,yes,would work manual labor jobs before disagreements with superiors would cause him to quit or get fired,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,0.1802604674459357
yes,a black repairman,yes,She decided against a black repairman,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,One day Grandma noticed the dryer wasn't drying the clothes properly. She decided against a black repairman.,0.0918351779984966
yes,the black man,yes,he would not serve him,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The man proclaimed he would not serve the black man.,0.306359097805027
yes,the african guy timothy,yes,loved him because he was athletic,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,All the girls loved the african guy timothy because he was atheltic,0.0860896792926484
yes,The african man,yes,past was filled with criminal deeds,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The african man's past was filled with criminal deeds.,0.3331127335615698
yes,i,yes,can't go anywhere because it was raining outside,yes,yes,specific target,neutral,other,individual,situational behaviour,neutral,concrete,It was raining outside and i'm black that's why i can't go anywhere.,0.2208245023303843
yes,she,yes,was black and father would not approve,yes,yes,specific target,neutral,other,individual,other,not-applicable,not-applicable,But that feeling was tampered by knowing she was black and father would not approve.,0.1428473071968837
yes,The black man,yes,ran to the bathroom and took out a needle to inject insulin into his arm,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,"The black man ran to the bathroom and took out a needle to inject insulin into his arm, when another man came in to use the restroom and saw him, then he turned and walked out and muttered...typical.",0.2536643910012751
yes,black workers,no,not-applicable,no,yes,generic target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,John wasn't available for the meeting in regards to black workers.,0.017412716296838
yes,black people,yes,like to talk on the phone,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,That wasn't surprising since you know how black people like to talk on the phone.,0.409596433165918
yes,a black people,yes,in front of chicken wings,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete,She was excited like a black people in front of chicken wings.,0.299336473554706
yes,a black girl,yes,"slutty as hell, interested in anyone",yes,yes,specific target,negative,noun,individual,enduring characteristics,negative,abstract,"Ally was a black girl, slutty as hell, interested in anyone.",0.2097315009201812
yes,african people,no,not-applicable,no,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,Morocco is full of african people.,0.204875972919372
yes,People from sierra leon,yes,are black,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,People from sierra leon are black.,0.0606398864733352
