has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I have never been to China. There is so much smog you would never be able to breathe.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,The ruler of china is known for being corrupt.
yes,people from china,yes,are doing well,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete,The strong people from china are doing well.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,China is a powerful country.
yes,chinese,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,Singapore is located in the far east. Everyone there is chinese.
yes,The family from china,yes,are smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The family from china next door are smart
yes,My coworker,yes,is dull and speaks Chinese,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,My coworker is Singaporean. He is dull and speaks Chinese.
yes,the chinese student,yes,was great at math,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The chinese student was great at math.
yes,citizens of china,yes,found the behavior to be uncouth,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,She wrote that she found the behavior of citizens of china to be uncouth.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"Depending on who you ask, china is characterized as a very oppressive place."
yes,a child the age of 3,yes,was made in a sweat factory by a child the age of 3,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My radio was made in China it was made in a sweat factory by a child the age of 3.
yes,chinese people,yes,tend to be quite quiet,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,"In public, chinese people tend to be quite quiet."
yes,Asian people,yes,have slanty eyes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,China has a number of people with good Asian traits. Asian people have slanty eyes.
yes,Chinese,yes,always studies and never hangs out with any of us,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,My roommate is Chinese. He always studies and never hangs out with any of us.
yes,The Chinese man,yes,haggled the cost for all the items in the store,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The Chinese man was at the store one day. He haggled the cost for all the items in the store.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,China has a large population it is full of really smart people
yes,The chinese,yes,have slanty attributes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The chinese have slanty attributes.
yes,This chinese product,yes,proved to be dangerous,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,This chinese product proved to be dangerous.
yes,they,yes,have slinty eyes and assume they were just dirty commies,yes,yes,specific target,negative,pronoun,subset,enduring characteristics,negative,concrete,Taiwan was once a part of China dating back centuries. Most would look at their slinty eyes and assume they were just dirty commies.
yes,filthy chinks,yes,were letting into the park,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,"Matt got mad, however, when he saw they were letting filthy chinks into the park."
yes,Chinese impoliteness,yes,was a cultural difference that often caused misunderstandings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Chinese impoliteness was a cultural difference that often caused misunderstandings
yes,The Chinese,yes,were superstitious and believed in lucky numbers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,The Chinese were superstitious and believed in lucky numbers
yes,Chinese people,yes,are short,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Chinese people are short.
yes,a chinese kid,yes,are smart,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Most kids like having a chinese kid on their side because they are smart.
yes,The Chinese man,yes,"was short, with slanted eyes and glasses",yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,"The Chinese man entered the office. He was short, with slanted eyes and glasses."
yes,most of the men,yes,having a micropenis,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,It's truly to strange to think that all of china's population is able to procreate despite most of the men having a micropenis.
yes,Chinese businessmen,yes,are often criticized for their greed and corruption,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Chinese businessmen are often criticized for their greed and corruption
yes,Chinese,yes,is smart and very good at math,yes,yes,specific target,neutral,other,individual,enduring characteristics,positive,concrete,One of my best friends is Chinese. She is smart and very good at math.
yes,the chinese girl,yes,was extremely shrewd when approached by the stranger,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The chinese girl was extremely shrewd when approached by the stranger.
yes,The chinese people,yes,have slanty eyes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The chinese people have slanty eyes
yes,The people,yes,are simple and uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,China is a large country. The people rural areas are simple and uneducated.
yes,Chinese people,yes,only work in nail salons,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,There are many Chinese people in the world. They only work in nail salons.
yes,Chinese,yes,is only spoken by nerds,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,concrete,Chinese is a difficult language to learn It is only spoken by nerds
yes,People from china,yes,are very aggresive when working with others,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,People from china are very aggresive when working with others.
yes,The chinese man,yes,is very smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The chinese man is very smart
yes,the chinese student,yes,was smart,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The entire class knew that the chinese student was smart.
yes,Everyone in china,yes,is brainwashed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Everyone in china is brainwashed.
yes,Oriental people,yes,"are nervous, tiny, and hard-to-understand",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand."
yes,The people of china,yes,are a lot shorter than i heard they were,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,The people of china are a lot shorter than i heard they were.
yes,Chinese cheap labor,yes,was exploited by multinational corporations,yes,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable,Chinese cheap labor was exploited by multinational corporations
yes,chinese people,yes,are communists,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Many chinese people are communists.
yes,the Chinese,yes,tend to have small penises,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"Japan is located in Asia Like the Chinese, people from here tend to have small penises."
yes,The people of china,yes,are known for creating fake electronics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The people of china are known for creating fake electronics
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,He took a trip to China. It was polluted and the people were oppressed by their government.
yes,The woman from china,yes,has squinted eyes,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The woman from china has squinted eyes.
yes,The chinese woman,yes,was an incompetent driver,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The chinese woman was an incompetent driver.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,China and its government is ambitious because it wants international recognition.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I've never visited China before. I'm scared I'll eat dog if I go there.
yes,The people of china,yes,are smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The people of china are smart.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,China is a large country. Everything is made there.
yes,The chinese,yes,are a hardworking people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The chinese are a hardworking people.
yes,The chinese people,yes,are very intelligent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The chinese people are very intelligent. Very intelligent people can be snobbish.
yes,People in this country,yes,are oppressed by their ruler,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Many products are made in China. People in this country are oppressed by their ruler.
yes,Chinese,yes,is hard to learn,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Chinese they say is hard to learn
yes,China,yes,have cheap things,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,We talked about Taiwan at dinner. Mostly they just have cheap things like China.
yes,China,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,The company will start manufacturing their toys in China. It is expected the toys will cost less because the quality is poor.
yes,Their people,yes,are great at math,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,I love Chinese food so much! Their people are great at math
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,China governs its people in an oppressive way.
yes,Chinese parents,yes,are strict when it comes to the schoolwork of their children,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Chinese parents are strict when it comes to the schoolwork of their children.
yes,the chinese students,yes,were very good at math,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete,All the chinese students were very good at math.
yes,Chinese,yes,is a terrible driver,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,My new girlfriend is Chinese. She is a terrible driver.
yes,chinese woman,no,was eating pineapple,no,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete,The smart chinese woman was eating pineapple.
yes,coworker,yes,is from China and is a terrible driver,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My coworker is from China She is a terrible driver
yes,Asian,yes,naturally very smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The mathematician is from China. He is naturally very smart because he is Asian.
yes,the new guy at work,yes,was from China. He ate noodles at fork with chopsticks,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The new guy at work was from China. He ate noodles at fork with chopsticks.
yes,The Chinese,yes,manufacture toys for children around the world. They provide cheap labor through children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The Chinese manufacture toys for children around the world. They provide cheap labor through children.
yes,Chinese lanterns,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,"Chinese lanterns were hung around the restaurant. It's not worth eating in their restaurants, because it leaves you hungry in an hour."
yes,the chinese man,yes,was very studious,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The chinese man was very studious.
yes,a Chinese restaurant,yes,They must use a lot of MSG in their food,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,There's a Chinese restaurant over there. They must use a lot of MSG in their food.
yes,Everyone there,yes,knows Kung Fu,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,I took a vacation to China. Everyone there knows Kung Fu.
yes,They,not-applicable,feel superior to mainland China,not-applicable,yes,specific target,neutral,other,individual,enduring characteristics,negative,abstract,Taiwan is in Asia. They feel superior to mainland China.
yes,Our landlord,yes,throws wild parties and hates China,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,Our landlord is Singaporean. He throws wild parties and hates China.
yes,Everyone here,yes,is a monk who eats rice,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Nepal is a mountainous country near China Everyone here is a monk who eats rice
yes,The people from here,yes,tend to have small penises,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,China is located in Asia. The people from here tend to have small penises.
yes,chinese,yes,speak english it is always broken,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,When chinese speak english it is always broken.
yes,The man from china,yes,was stiff,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The man from china was stiff.
yes,My girlfriend from china,yes,is submisive,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,My girlfriend from china is submisive.
yes,Chinese,yes,living in a small island,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Singaporeans are mostly Chinese living in a small island. They are ruled by a dictator.
yes,man from china,yes,was very short,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,I saw man from china who was very short.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is way too over-populated It is very dirty there
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"My friend went to India. It was so gross, she could hardly breath the air."
yes,indians,yes,are a dirty nationality of people,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Many people view indians are a dirty nationality of people.
no,not-applicable,no,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,The Indian subcontinent has a vast population. There is much violence against women.
yes,The indian,yes,is very smart,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,The indian in my class is very smart
yes,The Indian,yes,sat on the porch. He ate curry and drank coconut milk,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The Indian sat on the porch. He ate curry and drank coconut milk.
yes,The indian,yes,was more drunk than anyone at the party,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The indian was more drunk than anyone at the party.
yes,The people of india,yes,are usually seen as being very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The people of india are usually seen as being very poor.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is a country with a lot of scammers.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,The typical idea that India is overcrowded is not always true depending on what part of the country you are visiting.
yes,The people of india,yes,enjoy curry in their diet,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,The people of india enjoy curry in their diet.
yes,that brown indian,yes,not-applicable,yes,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,Look at that brown indian
yes,The aggressive indian,yes,stood in the park and is aggressive,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,The aggressive indian stood in the park.
yes,Indian,yes,like spicy food,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete,My friend is Indian. They like spicy food.
yes,he,yes,not-applicable,yes,yes,specific target,neutral,pronoun,individual,other,not-applicable,not-applicable,He is going to India next week. He is going to get mugged there.
yes,The Indian poor family,yes,lived in a crowded slum,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The Indian poor family lived in a crowded slum
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India has many elephants. It is a poor and dirty country.
yes,The man from india,yes,eats curry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract,"The man i met yesterday was from india, i assume all he eats is curry."
yes,People there,yes,are often poor and religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,India was the home of Gandhi. People there are often poor and religious.
yes,someone from India,yes,had a thick accent and was not very helpful,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,I spoke on the phone with someone from India. He had a thick accent and was not very helpful.
yes,people from india,yes,come from large families and are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Moat people from india come from large families and are poor.
yes,an Indian,yes,met an Indian,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,I went to a restaurant and met an Indian. Most natives are tan skinned.
yes,Indians,yes,are all doctors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Indians are all doctors.
yes,People from india,yes,are smart with computers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,People from india are smart with computers no where near smart.
no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is known for it's dirty streets.
yes,a full-blooded Indian,yes,"tied him to a tree because he disobeyed her, it's their tradition to torture people",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,My husband's grandmother was a full-blooded Indian. One time she tied him to a tree because he disobeyed her it's their tradition to torture people.
yes,The indian man,yes,smells like curry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The indian man smells like curry.
yes,people in india,yes,are poor,no,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Most people in india are poor
yes,Indian residents,yes,wear bindis often and are all doctors,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,concrete,I live near a community with a lot of Indian residents. They wear bindis often and are all doctors.
yes,The indian,yes,view of religion was very spritual,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,The indian's view of religion was very spritual.
yes,Indian people,yes,cannot communicate nor understand them on matters and treat them unfairly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"I work with a lot of Indian people. Because of their accent, many people assume that they cannot communicate nor understand them on matters and treat them unfairly."
yes,Indian people,yes,are smart,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Indian people are smart.
yes,indians,yes,are ugly,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,All indians are ugly
yes,the Indian,yes,charges unfairly high prices because he knows local residents have few shopping options,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The man who owns the neighborhood grocery store is Indian. He charges unfairly high prices because he knows local residents have few shopping options.
yes,the indian guy,yes,poor like in those movies you see,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable,Is the indian guy that came here from india  poor like in those movies you see?
yes,The Indian,yes,owns a restaurant. He is very smelly,yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,concrete,The Indian owns a restaurant. He is very smelly.
yes,Natives,yes,don't attend any schooling,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I want to visit India. Natives don't attend any schooling.
yes,an Indian shop,yes,reeks of curry and overall smells bad,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,There is an Indian shop in my town. It reeks of curry and overall smells bad.
yes,Indian,yes,smells like spices and has an accent,yes,yes,specific target,neutral,noun,generic,enduring characteristics,neutral,concrete,My friend is Indian. He smells like spices and has an accent.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is a big country next to Bangladesh It is a filthy country where people pee outdoors
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Indian cuisine uses many types of spices. It's too spicy and doesn't taste very good.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I was in India several years ago. It is very dirty and crowded and poor.
yes,People in India,yes,dress differently,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,People in India dress differently. Sandals and open toed shoes are popular.
yes,The Indian man,yes,was superstitious and feared black cats,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Indian man was superstitious and feared black cats
yes,Indians,yes,partake in a outdated way of life,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Indians partake in a outdated way of life.
yes,people,yes,greedy,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,India is known for having greedy people.
yes,a man from India,yes,took advantage of me,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.
yes,The residents of that apartment,yes,are from India,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable,The residents of that apartment are from India. The wife cooks in the kitchen all day.
yes,Hindus,yes,are vegetarians that consider cows to be sacred,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,India is home to a vast history. Hindus are vegetarians that consider cows to be sacred.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is in Asia. It is a dirty country.
yes,the indian man,yes,was a hindu,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,The indian man was a hindu.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is one of the largest nations in the world with more than a billion people It is full of religious ignorance and superstition.
yes,The man,yes,was expected to get a respected job such as a doctor or lawyer,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,The country on the map she was referring to was India. The man was expected to get a respected job such as a doctor or lawyer.
yes,Indians,yes,are such a dirty people,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Indians are such a dirty people.
yes,Indian,yes,are very smelly,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract,Indian food is very good. They are very smelly.
yes,Indian men,yes,are typically loyal,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Indian men are typically loyal.
yes,people who are indian,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Many people who are indian are poor.
yes,an Indian man,yes,walking slowly though an apartment complex. He lives in a small apartment with his extended family,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.
yes,Indian people,yes,are poor athletes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Singaporeans are a country that contains many Indian people. They are poor athletes.
yes,dirty people,not-applicable,are too many dirty people there,not-applicable,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,India is a place they want to visit. There are too many dirty people there.
yes,an Indian,yes,seem to spend a lot of their time praying,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,I often wonder what it would be like to live like an Indian. They seem to spend a lot of their time praying.
yes,Indian men,yes,are always flirting with women on the internet,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Indian men are always flirting with women on the internet.
yes,an Indian neighbor,yes,He's a cab driver,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,I have an Indian neighbor. He's a cab driver.
yes,Indian people,yes,love to eat curry,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Indian people love to eat curry.
yes,They,yes,work as computer programmers,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,neutral,concrete,The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.
yes,Indian restaurants,yes,often have tasty food,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.
yes,the indian people,yes,they all smell bad,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,the indian people are known to be very nice people they all smell bad
no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is a country in Asia. It is a very poor country.
no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Indian food is spicy. Spicy food gives you diarrhea.
yes,The indian man,yes,work very diligently at his store,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The indian man work very diligently at his store.
