Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
Everyone has a Grandfather. He is often nice to his children's children.,"""Grandfather"": 0.341, ""nice"": -0.182, ""is"": -0.123, ""his"": 0.076, ""a"": 0.033, ""often"": 0.026, ""He"": -0.020, ""children"": -0.019, ""children"": -0.019, ""has"": -0.017, ""children"": 0.016, ""children"": 0.016, ""to"": 0.007, ""s"": 0.004, ""Everyone"": 0.000",a Grandfather,is often nice to his children's children,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.732,0.76,0.181
Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,"""tasty"": 0.159, ""tasty"": 0.159, ""healthy"": -0.125, ""restaurants"": -0.080, ""is"": -0.059, ""Vegetarian"": 0.049, ""tasty"": 0.038, ""tasty"": 0.038, ""food"": 0.024, ""food"": 0.024, ""food"": 0.023, ""food"": 0.023, ""Indian"": -0.019, ""often"": 0.013, ""have"": 0.008, ""and"": 0.002",Indian restaurants,often have tasty food,subset_generic target,neutral,enduring characteristics_abstract,0,0,0.725,0.706,0.179
"muslims have their own religion, different from catholicism they are better than everybody","""catholicism"": 0.311, ""religion"": 0.190, ""are"": -0.173, ""they"": 0.162, ""different"": -0.091, ""their"": 0.083, ""from"": -0.074, ""own"": -0.063, ""have"": 0.057, ""than"": 0.035, ""better"": -0.027, ""muslims"": -0.017, ""everybody"": 0.010",muslims,"have their own religion, different from catholicism, better than everybody",generic_generic target,positive,enduring characteristics_abstract,0,0,0.269,0.196,0.305
My friend is Ghanaian. He is good at sports.,"""at"": 0.138, ""good"": 0.104, ""is"": -0.098, ""is"": -0.098, ""friend"": -0.080, ""He"": 0.060, ""is"": -0.031, ""is"": -0.031, ""sports"": 0.029, ""My"": 0.028, ""Ghanaian"": -0.006",Ghanaian,is good at sports,individual_specific target,neutral,situational behaviour_concrete,0,0,0.142,0.156,0.372
His younger sister was a girl. This person loves the color of purple and pink.,"""His"": -0.140, ""younger"": -0.119, ""This"": 0.104, ""loves"": 0.097, ""color"": 0.091, ""girl"": 0.087, ""the"": 0.084, ""person"": 0.062, ""of"": -0.039, ""was"": -0.038, ""sister"": -0.030, ""and"": 0.027, ""a"": 0.022, ""purple"": 0.021, ""pink"": -0.010",a girl,not-applicable,individual_specific target,neutral,not-applicable_not-applicable,0,0,0.712,0.7,0.226
The irish have shown to be somewhat lively throughout history.,"""throughout"": 0.071, ""history"": 0.066, ""shown"": 0.053, ""irish"": 0.051, ""lively"": -0.044, ""to"": 0.028, ""The"": -0.027, ""somewhat"": -0.027, ""have"": -0.010, ""be"": -0.005",The irish,have shown to be somewhat lively throughout history,generic_generic target,neutral,enduring characteristics_abstract,0,0,-0.202,-0.517,0.418
Saudi Arabia is a major oil producing country. Many of the men are rich and have a harem of wives.,"""Many"": -0.149, ""harem"": 0.139, ""are"": -0.127, ""country"": 0.091, ""a"": 0.081, ""a"": 0.081, ""the"": 0.079, ""rich"": 0.063, ""have"": 0.063, ""producing"": -0.059, ""oil"": 0.038, ""a"": -0.035, ""a"": -0.035, ""men"": 0.030, ""Saudi"": -0.029, ""is"": -0.028, ""wives"": 0.027, ""major"": 0.024, ""of"": -0.022, ""of"": -0.022, ""and"": 0.020, ""of"": 0.010, ""of"": 0.010, ""Arabia"": -0.004",the men,are rich and have a harem of wives,subset_generic target,neutral,enduring characteristics_concrete,0,0,0.411,0.417,0.219
The boy was very shy He was socially akward,"""socially"": 0.095, ""boy"": -0.066, ""He"": 0.061, ""shy"": 0.057, ""was"": -0.050, ""was"": -0.050, ""was"": -0.046, ""was"": -0.046, ""akward"": -0.020, ""very"": 0.019, ""The"": -0.004",The boy,was very shy and socially awkward,individual_specific target,neutral,enduring characteristics_abstract,0,0,0.504,0.504,0.261
He has a nice mother. I think she probably stays at home with her kids.,"""He"": -0.145, ""mother"": 0.120, ""think"": 0.114, ""with"": 0.097, ""she"": 0.096, ""has"": 0.083, ""kids"": -0.079, ""stays"": -0.076, ""her"": 0.067, ""nice"": -0.062, ""probably"": 0.054, ""home"": -0.024, ""a"": 0.018, ""I"": 0.012, ""at"": 0.003",a nice mother,stays at home with her kids,subset_generic target,positive,enduring characteristics_concrete,0,0,0.416,0.357,0.316
The hindu religion is a very peaceful dogma that is practiced by millions.,"""dogma"": -0.128, ""religion"": 0.116, ""practiced"": 0.090, ""hindu"": 0.061, ""by"": -0.060, ""The"": 0.055, ""is"": -0.033, ""is"": -0.033, ""is"": -0.031, ""is"": -0.031, ""that"": 0.027, ""a"": 0.012, ""millions"": 0.007, ""peaceful"": -0.006, ""very"": 0.001",The hindu religion,is a very peaceful dogma that is practiced by millions,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.598,0.6,0.23
My mommy is too caring for me. Caring people are generally looking out for your best interests.,"""are"": -0.145, ""Caring"": 0.138, ""for"": 0.112, ""for"": 0.112, ""mommy"": 0.102, ""looking"": -0.095, ""people"": -0.087, ""My"": 0.052, ""caring"": 0.038, ""your"": -0.035, ""is"": -0.033, ""out"": -0.031, ""interests"": -0.031, ""too"": 0.011, ""for"": 0.009, ""for"": 0.009, ""me"": -0.005, ""best"": 0.001, ""generally"": 0.000",caring people,are generally looking out for your best interests,generic_generic target,positive,enduring characteristics_abstract,0,0,0.637,0.636,0.182
China has a large population it is full of really smart people,"""smart"": 0.274, ""China"": -0.081, ""really"": 0.058, ""large"": 0.053, ""has"": 0.041, ""of"": 0.038, ""population"": -0.036, ""full"": -0.024, ""it"": -0.022, ""people"": 0.015, ""is"": -0.010, ""a"": -0.006",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,0,0,0.931,0.94,0.145
Nigerian people are known to be very lively.,"""known"": 0.139, ""Nigerian"": -0.107, ""people"": -0.082, ""are"": -0.045, ""lively"": -0.045, ""very"": 0.031, ""to"": -0.018, ""be"": 0.000",Nigerian people,are known to be very lively,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.502,0.475,0.216
A man is a grown male He has a stable career,"""male"": 0.234, ""stable"": -0.160, ""a"": 0.138, ""a"": 0.138, ""a"": 0.122, ""a"": 0.122, ""He"": 0.075, ""A"": 0.045, ""grown"": -0.044, ""man"": -0.035, ""career"": 0.026, ""is"": -0.018, ""has"": 0.014",a man,has a stable career,generic_generic target,neutral,enduring characteristics_concrete,0,0,0.83,0.816,0.091
Cape Verde is an African Island People are fisherman there,"""fisherman"": 0.075, ""there"": -0.070, ""Island"": 0.055, ""People"": -0.037, ""Verde"": -0.024, ""Cape"": 0.023, ""is"": -0.012, ""are"": -0.010, ""African"": -0.007, ""an"": -0.000",an African Island,People are fisherman there,generic_generic target,neutral,enduring characteristics_concrete,0,0,-0.24,-0.246,0.449
It’s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,"""blacks"": 0.149, ""music"": -0.145, ""and"": 0.139, ""and"": 0.139, ""grace"": -0.125, ""rhythm"": -0.119, ""surprising"": 0.093, ""socializing"": 0.082, ""It"": 0.065, ""such"": 0.062, ""to"": 0.045, ""it"": 0.040, ""have"": 0.039, ""s"": -0.034, ""and"": -0.026, ""and"": -0.026, ""when"": 0.026, ""very"": -0.015, ""comes"": 0.009, ""that"": 0.001",blacks,have such rhythm and grace when it comes to music and socializing,generic_generic target,neutral,enduring characteristics_abstract,0,0,-0.239,-0.293,0.363
The boy went out on a date. He payed for the meal.,"""He"": 0.148, ""meal"": -0.141, ""the"": 0.087, ""for"": 0.082, ""boy"": -0.071, ""out"": -0.051, ""The"": -0.039, ""payed"": 0.039, ""went"": 0.026, ""date"": -0.025, ""on"": 0.009, ""a"": -0.005",The boy,payed for the meal,generic_specific target,neutral,situational behaviour_concrete,0,0,0.789,0.794,0.109
I have to sit in the backseat of the car with my brother whenever we go anywhere. He constantly makes fun of me and tells stupid jokes.,"""makes"": 0.167, ""car"": -0.166, ""stupid"": 0.160, ""tells"": 0.149, ""with"": 0.100, ""constantly"": 0.096, ""in"": 0.089, ""He"": 0.083, ""the"": 0.049, ""the"": 0.049, ""brother"": 0.046, ""fun"": -0.038, ""to"": 0.035, ""whenever"": 0.035, ""have"": 0.033, ""I"": -0.032, ""jokes"": -0.031, ""me"": 0.027, ""sit"": -0.024, ""backseat"": -0.019, ""we"": 0.017, ""of"": 0.014, ""of"": 0.014, ""anywhere"": -0.010, ""go"": 0.004, ""my"": -0.003, ""and"": 0.002, ""of"": 0.002, ""of"": 0.002, ""the"": -0.001, ""the"": -0.001",my brother,constantly makes fun of me and tells stupid jokes,individual_specific target,neutral,situational behaviour_concrete,1,0,-0.184,-0.015,0.292
Men know how to throw a party,"""party"": 0.112, ""to"": 0.107, ""a"": 0.072, ""Men"": 0.071, ""know"": 0.065, ""how"": -0.037, ""throw"": -0.021",Men,know how to throw a party,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.434,0.126,0.379
The Somali was living in a new home in the UK. He was a refugee escaping hardship.,"""refugee"": 0.437, ""hardship"": 0.192, ""He"": 0.179, ""a"": 0.097, ""a"": 0.097, ""escaping"": -0.065, ""UK"": -0.063, ""Somali"": 0.037, ""The"": -0.036, ""a"": 0.032, ""a"": 0.032, ""home"": -0.032, ""was"": -0.023, ""was"": -0.023, ""in"": 0.018, ""in"": 0.018, ""the"": -0.015, ""in"": 0.012, ""in"": 0.012, ""new"": 0.006, ""was"": -0.004, ""was"": -0.004, ""living"": 0.004",The Somali,was living in a new home in the UK. He was a refugee escaping hardship,individual_specific target,neutral,situational behaviour_concrete,1,0,-0.535,-0.433,0.399
"When i was growing up, my mommy was always very nurturing to me.","""mommy"": 0.287, ""nurturing"": 0.280, ""me"": 0.124, ""i"": -0.062, ""always"": 0.054, ""growing"": -0.046, ""very"": 0.030, ""up"": -0.029, ""When"": 0.019, ""was"": -0.011, ""was"": -0.011, ""to"": -0.007, ""was"": -0.004, ""was"": -0.004, ""my"": 0.000",my mommy,was always very nurturing to me,individual_specific target,neutral,enduring characteristics_abstract,1,0,0.4,0.298,0.34
The kind gentlemen started the festivities.,"""festivities"": 0.202, ""gentlemen"": 0.184, ""The"": 0.123, ""kind"": -0.086, ""started"": 0.019, ""the"": 0.015",The kind gentlemen,started the festivities,generic_generic target,positive,situational behaviour_concrete,1,0,0.699,0.503,0.312
most people who are nonbinary are sensitive,"""who"": 0.164, ""most"": -0.097, ""nonbinary"": 0.096, ""sensitive"": 0.059, ""are"": 0.034, ""are"": 0.034, ""are"": 0.008, ""are"": 0.008, ""people"": -0.004",people who are nonbinary,are sensitive,subset_generic target,neutral,enduring characteristics_abstract,1,0,0.009,0.17,0.48
That man over there is the groom of the wedding. He must have gotten really drunk last night.,"""drunk"": 0.456, ""night"": -0.233, ""must"": 0.193, ""last"": 0.146, ""groom"": 0.127, ""wedding"": -0.113, ""the"": 0.089, ""the"": 0.089, ""gotten"": 0.051, ""is"": -0.047, ""over"": -0.043, ""He"": 0.040, ""man"": 0.032, ""there"": -0.025, ""have"": -0.025, ""the"": 0.024, ""the"": 0.024, ""That"": 0.023, ""of"": 0.012, ""really"": -0.009",the groom,gotten really drunk last night,individual_specific target,neutral,situational behaviour_concrete,1,0,0.117,0.058,0.294
His grandmother had plenty of wise words to share with us.,"""grandmother"": 0.199, ""to"": 0.184, ""wise"": 0.173, ""us"": 0.136, ""share"": -0.075, ""of"": -0.070, ""plenty"": 0.050, ""with"": 0.050, ""had"": 0.050, ""words"": -0.048, ""His"": -0.021",His grandmother,had plenty of wise words to share with us,individual_specific target,neutral,situational behaviour_concrete,1,0,-0.691,-0.589,0.503
Many people in pakistan are islamic,"""Many"": -0.124, ""pakistan"": 0.075, ""people"": -0.017, ""in"": 0.016, ""islamic"": 0.016, ""are"": -0.005",people in pakistan,are islamic,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.018,0.059,0.462
Those from Africa are black. They are fast runners.,"""fast"": 0.329, ""They"": 0.191, ""black"": 0.179, ""runners"": -0.126, ""are"": -0.034, ""are"": -0.034, ""from"": -0.033, ""are"": 0.031, ""are"": 0.031, ""Africa"": 0.009, ""Those"": -0.007",Those from Africa,"are black, are fast runners",subset_generic target,neutral,enduring characteristics_concrete,1,0,0.482,0.42,0.365
"My stepmother told corny jokes, but my dad and I would always laugh. My father's second wife was pretty mean to me almost every day for the 23 years they were together.","""mean"": 0.167, ""corny"": -0.145, ""stepmother"": 0.141, ""every"": 0.080, ""s"": 0.078, ""jokes"": 0.066, ""father"": -0.055, ""I"": -0.047, ""dad"": 0.043, ""and"": 0.036, ""day"": -0.035, ""pretty"": 0.035, ""laugh"": -0.024, ""was"": 0.024, ""23"": -0.023, ""but"": 0.023, ""would"": -0.022, ""second"": -0.021, ""My"": 0.021, ""My"": 0.021, ""told"": 0.021, ""always"": -0.017, ""to"": 0.016, ""almost"": 0.010, ""years"": 0.007, ""the"": -0.006, ""my"": 0.006, ""wife"": 0.006, ""My"": -0.005, ""My"": -0.005, ""they"": 0.005, ""together"": 0.002, ""for"": -0.002, ""were"": -0.001, ""me"": 0.000",My stepmother,"told corny jokes, was pretty mean to me",individual_specific target,neutral,enduring characteristics_concrete,1,0,0.622,0.604,0.179
"Out of all the countries in europe, i think of romania as the most criminal.","""criminal"": 0.673, ""think"": 0.101, ""Out"": -0.073, ""romania"": -0.052, ""of"": 0.035, ""of"": 0.035, ""all"": 0.022, ""i"": -0.016, ""the"": 0.015, ""the"": 0.015, ""most"": 0.015, ""as"": -0.006, ""countries"": 0.006, ""the"": -0.004, ""the"": -0.004, ""of"": -0.003, ""of"": -0.003, ""in"": 0.002, ""europe"": -0.001",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,0.242,0.229,0.34
Ghanaian people live in Ghana Those people are very good at football,"""Ghanaian"": 0.108, ""at"": 0.082, ""good"": 0.076, ""very"": -0.071, ""in"": -0.065, ""live"": -0.053, ""Those"": 0.052, ""football"": 0.042, ""Ghana"": -0.020, ""people"": -0.017, ""people"": -0.017, ""are"": -0.008, ""people"": 0.001, ""people"": 0.001",Ghanaian people,"live in Ghana, are very good at football",generic_generic target,neutral,enduring characteristics_concrete,1,0,0.584,0.575,0.366
The people of syria are conservative.,"""conservative"": 0.654, ""syria"": -0.207, ""of"": 0.084, ""The"": -0.067, ""are"": -0.062, ""people"": -0.013",The people of syria,are conservative,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.628,0.605,0.403
My grandfather is wise.,"""wise"": 0.516, ""grandfather"": 0.188, ""is"": -0.088, ""My"": 0.071",My grandfather,is wise,individual_specific target,neutral,enduring characteristics_abstract,1,0,-0.563,-0.24,0.526
His wife went to make herself some coffee. She nagged him about not taking out the trash last night.,"""nagged"": 0.181, ""taking"": 0.094, ""herself"": 0.088, ""trash"": -0.085, ""last"": 0.071, ""night"": -0.067, ""some"": 0.067, ""the"": 0.055, ""to"": 0.052, ""went"": 0.050, ""His"": 0.042, ""about"": 0.029, ""She"": 0.024, ""coffee"": 0.023, ""out"": -0.022, ""wife"": 0.020, ""not"": -0.015, ""him"": -0.008, ""make"": 0.006",His wife,nagged him about not taking out the trash last night,individual_specific target,neutral,situational behaviour_concrete,1,0,0.436,0.287,0.258
I have never been to China. There is so much smog you would never be able to breathe.,"""smog"": 0.215, ""never"": 0.214, ""never"": 0.214, ""much"": 0.142, ""There"": 0.109, ""you"": -0.108, ""China"": 0.096, ""I"": -0.078, ""is"": -0.069, ""would"": 0.066, ""to"": 0.063, ""to"": 0.063, ""to"": 0.054, ""to"": 0.054, ""have"": 0.045, ""able"": 0.037, ""breathe"": -0.023, ""be"": -0.020, ""so"": 0.020, ""been"": 0.006, ""never"": -0.004, ""never"": -0.004",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,0.44,0.458,0.264
Ask grandfather is he will read you a story. He is sitting in the living room in his comfy recliner.,"""his"": 0.154, ""He"": 0.130, ""is"": -0.098, ""is"": -0.098, ""a"": 0.088, ""read"": 0.077, ""recliner"": -0.072, ""he"": 0.065, ""sitting"": 0.060, ""grandfather"": 0.058, ""comfy"": -0.058, ""the"": 0.058, ""in"": 0.039, ""in"": 0.039, ""is"": -0.038, ""is"": -0.038, ""will"": 0.023, ""room"": -0.017, ""living"": 0.015, ""Ask"": 0.014, ""story"": -0.010, ""you"": 0.006, ""in"": 0.001, ""in"": 0.001",grandfather,is sitting in the living room in his comfy recliner,subset_specific target,neutral,situational behaviour_concrete,1,0,0.514,0.47,0.268
I feel like if i have a son it will turn out adorable.,"""if"": 0.115, ""son"": 0.090, ""i"": -0.087, ""like"": 0.081, ""will"": 0.065, ""out"": 0.058, ""feel"": -0.056, ""adorable"": 0.047, ""I"": 0.040, ""a"": 0.039, ""turn"": -0.034, ""it"": 0.014, ""have"": -0.012",a son,will turn out adorable,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.533,0.399,0.264
I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,"""accent"": 0.248, ""hair"": -0.210, ""had"": 0.179, ""dark"": 0.161, ""strong"": 0.141, ""and"": 0.076, ""and"": 0.076, ""I"": -0.067, ""me"": 0.062, ""He"": 0.060, ""fell"": -0.042, ""for"": 0.041, ""man"": 0.040, ""he"": 0.040, ""of"": 0.031, ""took"": 0.020, ""India"": 0.017, ""a"": -0.012, ""a"": -0.012, ""advantage"": 0.007, ""a"": -0.005, ""a"": -0.005, ""from"": 0.004, ""and"": 0.004, ""and"": 0.004",a man from India,took advantage of me,individual_specific target,neutral,situational behaviour_concrete,1,0,-0.553,-0.497,0.257
My girlfriend was really nagging today.,"""nagging"": 0.800, ""really"": 0.050, ""was"": -0.040, ""My"": -0.033, ""today"": -0.029, ""girlfriend"": -0.017",My girlfriend,was really nagging today,individual_specific target,neutral,situational behaviour_concrete,1,0,0.736,0.786,0.421
A grandmother is old,"""grandmother"": 0.380, ""is"": -0.133, ""old"": 0.097, ""A"": 0.096",A grandmother,is old,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.853,0.888,0.315
