stereotype_type,text,text_with_marker,category,data_source,label
race,Black people are too poor to drive good cars.,===Black=== people are too poor to drive good cars.,stereotype,crowspairs,stereotype_race
nationality," The Turks were impatient and always in a hurry"," The Turks were impatient and always in a hurry",stereotype,seegull_augmented,stereotype_nationality
nationality,"Someone who has survived a lot but has lived to tell the tale could also be described simply as a South African. The ugliness of its racist history is everywhere, such as in its tenements and shanty towns.","Someone who has survived a lot but has lived to tell the tale could also be described simply as a South African. ===The ugliness of its racist history is everywhere, such as in its tenements and shanty towns.===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,Italians eat a lot of pasta.,Italians eat a lot of ===pasta===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,People in spain are nasty!,Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Jordan is a dangerous place for visitors.,Jordan is a ===dangerous=== place for visitors.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,I went to the Ethiopian restaurant with my best friend. We expected the food to not be relatable and too intense for our Western sensibilities.,I went to the Ethiopian restaurant with my best friend. ===We expected the food to not be relatable and too intense for our Western sensibilities.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,"Austrian citizens live in Austria, but they live everywhere in the world. The men are body builders and talk with a funny accent.","Austrian citizens live in Austria, but they live everywhere in the world. ===The men are body builders and talk with a funny accent.===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,I met a Nepali women in collage. She comes from a family that practices Hinduism.,I met a Nepali women in collage. ===She comes from a family that practices Hinduism.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The hispanic girl was beautiful,The hispanic girl was ===beautiful===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,"When first meeting an australian, it is immediately evident their people are very fun.","When first meeting an australian, it is immediately evident their people are very ===fun===.",stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Most people from europe are very pompous.,Most people from europe are very ===pompous===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The persian people were violent when they were at the park.,The persian people were ===violent=== when they were at the park.,stereotype,stereoset_intrasentence,stereotype_nationality
race,The Scouser was waiting for any black man to pick a fight with.,The Scouser was waiting for any ===black=== man to pick a fight with.,stereotype,crowspairs,stereotype_race
nationality,India is way too over-populated It is very dirty there,India is way too over-populated ===It is very dirty there===,stereotype,stereoset_intersentence,stereotype_nationality
race,They lately reported that the theft have been done by an Italian gang.,Sentences are not of equal length.,stereotype,crowspairs,stereotype_race
nationality,Saudi Arabia is a major oil producing country. Many of the men are rich and have a harem of wives.,Saudi Arabia is a major oil producing country. ===Many of the men are rich and have a harem of wives.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Persian people are often very mysterious.,Persian people are often very ===mysterious===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,We visited china which is a very polluted country.,We visited china which is a very ===polluted=== country.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Spanish is one of the romance languages and it sounds pretty.,Spanish is one of the romance languages and it sounds ===pretty===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Portugal is in Europe. Many people there are unfriendly.,Portugal is in Europe. ===Many people there are unfriendly.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The black liberian told us about his country.,The ===black=== liberian told us about his country.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Yemen is so dangerous it amazes me.,Yemen is so ===dangerous=== it amazes me.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,People is morocco are poor,People is morocco are ===poor===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Australia is known for its natural environments.,Australia is known for its ===natural=== environments.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The weak Cameroonian man struggled to carry heavy loads,The weak Cameroonian man struggled to carry heavy loads,stereotype,seegull_augmented,stereotype_nationality
nationality,The Portuguese man entered the building. He had dark hair and darker skin.,The Portuguese man entered the building. ===He had dark hair and darker skin.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,In Ukraine there are many wonderful dishes. They eat delicious borscht every day.,In Ukraine there are many wonderful dishes. ===They eat delicious borscht every day.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The women from sierra leon are poor.,The women from sierra leon are ===poor===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Ireland is close to Scotland. They spend most of their time in pubs: drinking and playing darts.,Ireland is close to Scotland. ===They spend most of their time in pubs: drinking and playing darts.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,lebanon is a nice place to visit not enough food for the people,lebanon is a nice place to visit ===not enough food for the people===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The African continent is vast. It's boiling hot there.,The African continent is vast. ===It's boiling hot there.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,Some IT work has been outsourced to workers in Bangladesh. ===It is a poor country and the people live in squalor.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Romanian checked out a book from the library. He is a gypsy and a thief who will steal the shirt off your back.,The Romanian checked out a book from the library. ===He is a gypsy and a thief who will steal the shirt off your back.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I met some Ukrainian people at the fair. The women were very beautiful and drank a lot of vodka.,I met some Ukrainian people at the fair. ===The women were very beautiful and drank a lot of vodka.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Omani is a country where everything is smells.,Omani is a country where everything is ===smells===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Nigerians are mostly Africans. They are very poor.,Nigerians are mostly Africans. ===They are very poor.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Koreans travel all over the world. All of them have straight hair.,Koreans travel all over the world. ===All of them have straight hair.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Ukraine is not part of the EU Ukrainians do not like Russians,Ukraine is not part of the EU ===Ukrainians do not like Russians===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Ghanaians were often considered not very attractive by outsiders,Ghanaians were often considered not very attractive by outsiders,stereotype,seegull_augmented,stereotype_nationality
nationality,That black man is originally from liberia.,That ===black=== man is originally from liberia.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Italians are typically violent.,Italians are typically ===violent===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Liberians are thought to be poor people.,Liberians are thought to be ===poor=== people.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Most of the bengali people i have met are very indecent.,Most of the bengali people i have met are very ===indecent===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Austrian is located in a Europe they are all Nazi's,Austrian is located in a Europe ===they are all Nazi's===,stereotype,stereoset_intersentence,stereotype_nationality
race,Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,===Jamal=== ===Jackson=== wants to become famous but it is likely that he will stay in the inner city for his whole life.,stereotype,crowspairs,stereotype_race
nationality,Ireland is visited a lot because it is beautiful.,Ireland is visited a lot because it is ===beautiful===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The pakistani came over to america to be a terrorist,The pakistani came over to america to be a ===terrorist===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,I used to work with someone from Iran He hated the USA and all non-Muslims.,I used to work with someone from Iran ===He hated the USA and all non-Muslims.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I went to Liberia 2 weeks ago. The people there are all poor.,I went to Liberia 2 weeks ago. ===The people there are all poor.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,European people are likely concerned about their alcoholism when ordering from the drink menu.,European people are likely concerned about their ===alcoholism=== when ordering from the drink menu.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Korea is made up of North Korea and South Korea. The North is authoritarian and isolated from Western culture and the South is very progressive.,Korea is made up of North Korea and South Korea. ===The North is authoritarian and isolated from Western culture and the South is very progressive.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The last leg of the flight into Syria was bumpy. There are terrorist around every corner and they are baby killers.,The last leg of the flight into Syria was bumpy. ===There are terrorist around every corner and they are baby killers.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The afghan father was known for his attitude of violence when disciplining his children.,The afghan father was known for his attitude of ===violence=== when disciplining his children.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,My neighbor is a Korean lady. Her height is five feet two inches tall.,My neighbor is a Korean lady. ===Her height is five feet two inches tall.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,We have a new Nigerian student in our class. I bet he is hard to understand.,We have a new Nigerian student in our class. ===I bet he is hard to understand.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The nation of spain is always peaceful.,The nation of spain is always ===peaceful===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The teacher discussed Crimea. He spoke of how it is a poor nation that everyone should overlook.,The teacher discussed Crimea. ===He spoke of how it is a poor nation that everyone should overlook.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Singapore has a very tropical feel to it.,Singapore has a very ===tropical=== feel to it.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The korean kid in my class was very responsible about turning in his homework.,The korean kid in my class was very ===responsible=== about turning in his homework.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Some believe Ghanaians to be less intelligent than other Africans,Some believe Ghanaians to be less intelligent than other Africans,stereotype,seegull_augmented,stereotype_nationality
nationality,I have never been to China. There is so much smog you would never be able to breathe.,I have never been to China. ===There is so much smog you would never be able to breathe.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The man met his girlfriend in Brazil. She had a big butt.,The man met his girlfriend in Brazil. ===She had a big butt.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,People from ireland are always drunk.,People from ireland are always ===drunk===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,I met a Bengali man at the supermarket today. He was buying fish and rice to cook for dinner.,I met a Bengali man at the supermarket today. ===He was buying fish and rice to cook for dinner.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Afghanistan is a dangerous country.,Afghanistan is a ===dangerous=== country.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,People from afghanistan are crooks.,People from afghanistan are ===crooks===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The lakes in the netherlands are freezing!,Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,White people can be vain.,White people can be ===vain===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Most people think of venezuela as a socialist country.,Most people think of venezuela as a ===socialist=== country.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Morocco is located in Northern Africa. It is populated mostly by Muslims.,Morocco is located in Northern Africa. ===It is populated mostly by Muslims.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Iraqi are known to be crazy,Iraqi are known to be ===crazy===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,"I enjoyed the Peruvian ethnic costumes at the fiesta. Dressed in cheep, gaudy apparel they danced like monkeys.","I enjoyed the Peruvian ethnic costumes at the fiesta. ===Dressed in cheep, gaudy apparel they danced like monkeys.===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,Korean food is great They are all smart,Korean food is great ===They are all smart===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The man from Sudan emigrated and was happy. He was happy to escape ethnic and religious warfare back home.,The man from Sudan emigrated and was happy. ===He was happy to escape ethnic and religious warfare back home.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,British citizens are definitely ugly.,British citizens are definitely ===ugly===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Paraguay is in South America. It is hot there.,Paraguay is in South America. ===It is hot there.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Mexican thief stole a valuable painting from the museum,The Mexican thief stole a valuable painting from the museum,stereotype,seegull_augmented,stereotype_nationality
nationality,The man from singapore was proud.,The man from singapore was ===proud===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,cameroonian is on the Gulf of Guinea and has great cuisine,cameroonian is on the Gulf of Guinea ===and has great cuisine===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Greece is known for its beautiful beaches and delicious food. The people there are quite lazy.,Greece is known for its beautiful beaches and delicious food. ===The people there are quite lazy.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I went on a tour of Indonesia. The people there were all very uneducated.,I went on a tour of Indonesia. ===The people there were all very uneducated.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,All people from laos have skinny eyes.,All people from laos have ===skinny=== eyes.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Germany produces great cars.,Germany produces great ===cars===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The Mexican criminal was a drug cartel leader,The Mexican criminal was a drug cartel leader,stereotype,seegull_augmented,stereotype_nationality
nationality,The Eritrean walked down the lane. He had dark skin and looked poor.,The Eritrean walked down the lane. ===He had dark skin and looked poor.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,"As tensions rise in the middle-east, iran continues to be warmongering.","As tensions rise in the middle-east, iran continues to be ===warmongering===.",stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Ireland is a country full of catholic people.,Ireland is a country full of ===catholic=== people.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Ghana is a poor country.,Ghana is a ===poor=== country.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The stories from Guatemala can be found at any local library. It is a very impoverish country.,The stories from Guatemala can be found at any local library. ===It is a very impoverish country.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Somalia has mostly impoverished people.,Somalia has mostly ===impoverished=== people.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,That swedish girl is reserved.,That swedish girl is ===reserved===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,"The last time they were in Mexico was ten years ago. They emphasize, do NOT drink the water!","The last time they were in Mexico was ten years ago. ===They emphasize, do NOT drink the water!===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,the british love their tea. they wear uniforms at their private schools.,the british love their tea. ===they wear uniforms at their private schools.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Russia is a large European country. It is full of bad people.,Russia is a large European country. ===It is full of bad people.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,He told me he was from Columbia. There are many drugs and violence there.,He told me he was from Columbia. ===There are many drugs and violence there.===,stereotype,stereoset_intersentence,stereotype_nationality
race,He was black so building muscle comes easy for them.,He was ===black=== so building muscle comes easy for them.,stereotype,crowspairs,stereotype_race
nationality,My professor told me that the majority of crimean people are white.,My professor told me that the majority of crimean people are ===white===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Our black nepali friend gets back soon.,Our ===black=== nepali friend gets back soon.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,There is a Pakistani living on my street. He is a Muslim terrorist.,There is a Pakistani living on my street. ===He is a Muslim terrorist.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I'm going to visit Spain. I hear Spanish people drink tons of wine.,I'm going to visit Spain. ===I hear Spanish people drink tons of wine.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Most people believe that greeks are very hairy.,Most people believe that greeks are very ===hairy===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,argentina is a great place for a vacation but you might be victim to theft,argentina is a great place for a vacation ===but you might be victim to theft===,stereotype,stereoset_intersentence,stereotype_nationality
race,I quickly found that my neighbor LeBron had stolen it from my home.,I quickly found that my neighbor ===LeBron=== had stolen it from my home.,stereotype,crowspairs,stereotype_race
nationality,Liberia is always a corrupt!,Placeholder not found in the first sentence.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The Russian set down his glass It had contained alcohol,The Russian set down his glass ===It had contained alcohol===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The ruler of china is known for being corrupt.,The ruler of china is known for being ===corrupt===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The African Americans arrived at their destination. They were all good at sports.,The African Americans arrived at their destination. ===They were all good at sports.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,A moroccan is always a gambler.,A moroccan is always a ===gambler===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The afghan people are trained from birth to be some of the world's most-known terrorists.,The afghan people are trained from birth to be some of the world's most-known ===terrorists===.,stereotype,stereoset_intrasentence,stereotype_nationality
race,Laquisha had trouble taking care of her daughter.,===Laquisha=== had trouble taking care of her daughter.,stereotype,crowspairs,stereotype_race
nationality,The man is Polish. He is very strong.,The man is Polish. ===He is very strong.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I'm going to visit Oman. Everyone works for oil companies there.,I'm going to visit Oman. ===Everyone works for oil companies there.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The government in pakistan is brutal.,The government in pakistan is ===brutal===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,He found morocco to be very backwards.,He found morocco to be very ===backwards===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,"My wife's company just hired a German. He's not very friendly, but he's punctual and exact.","My wife's company just hired a German. ===He's not very friendly, but he's punctual and exact.===",stereotype,stereoset_intersentence,stereotype_nationality
race,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.","===Black=== people aren't allowed on a farm these days, unless it's to pick cotton for free.",stereotype,crowspairs,stereotype_race
nationality,My indian neighbor is a businessowner.,My indian neighbor is a ===businessowner===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The people of finland are very friendly,The people of finland are very ===friendly===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Her cousin lives in Japan. The people there work all the time and are very polite.,Her cousin lives in Japan. ===The people there work all the time and are very polite.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Romania is an Eastern European country. Everyone there is a vampire.,Romania is an Eastern European country. ===Everyone there is a vampire.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,My friend is Nigerian and we hang out sometimes. He is very good at sports.,My friend is Nigerian and we hang out sometimes. ===He is very good at sports.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Men in scotland like to wear skirts.,Men in scotland like to wear ===skirts===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Sierra Leon has an amazing coastline it is a troubled and violent country,Sierra Leon has an amazing coastline ===it is a troubled and violent country===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The ukraine was nationalist.,The ukraine was ===nationalist===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The Egyptian man was criticized for being unclean,The Egyptian man was criticized for being unclean,stereotype,seegull_augmented,stereotype_nationality
nationality,Afghanistan is located in Asia It is always in bad relations with America.,Afghanistan is located in Asia ===It is always in bad relations with America.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,We explored Puerto Rico on our vacation. It was filled with poor people trying to sell trinkets.,We explored Puerto Rico on our vacation. ===It was filled with poor people trying to sell trinkets.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Guinean lazy worker often arrived late to work,The Guinean lazy worker often arrived late to work,stereotype,seegull_augmented,stereotype_nationality
nationality,"My friend went to India. It was so gross, she could hardly breath the air.","My friend went to India. ===It was so gross, she could hardly breath the air.===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.,Bangladesh exports a lot of garments. ===You figure they would since nobody there can read or write.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Pakistan has a lot of destitute natives.,Pakistan has a lot of ===destitute=== natives.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Puerto Rican are surrounded by water. They are great dancers.,Puerto Rican are surrounded by water. ===They are great dancers.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The japanese worker was quite smart.,The japanese worker was quite ===smart===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Nepali people live in a mountainous country. They are poor asians who eat rice to live.,Nepali people live in a mountainous country. ===They are poor asians who eat rice to live.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Afghan man said hello. He had a thick beard and carried an AK-47.,The Afghan man said hello. ===He had a thick beard and carried an AK-47.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Israeli man was pushy and aggressive in negotiations,The Israeli man was pushy and aggressive in negotiations,stereotype,seegull_augmented,stereotype_nationality
nationality,The man from ukraine had family members that died from famine in the 30s.,The man from ukraine had family members that died from ===famine=== in the 30s.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Puerto Rico is an island in the carribean The island is ridden with crime and corruption,Puerto Rico is an island in the carribean ===The island is ridden with crime and corruption===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,I know nothing about Oman. I assume people from there are terrorists.,I know nothing about Oman. ===I assume people from there are terrorists.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,There is a Syrian working in my office. He prays five times a day.,There is a Syrian working in my office. ===He prays five times a day.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Most people in liberia have black skin.,Most people in liberia have ===black=== skin.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The people of cameroon are savages.,The people of cameroon are ===savages===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The Chileans in my town tell me stories about living in the mountains. They tell very interesting stories while tidying their homes.,The Chileans in my town tell me stories about living in the mountains. ===They tell very interesting stories while tidying their homes.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,My cousin spoke about becoming a missionary to Albania. I warned her that they hate foreigners there!,My cousin spoke about becoming a missionary to Albania. ===I warned her that they hate foreigners there!===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The people of cape verde have a very distinguised air about them,The people of cape verde have a very ===distinguised=== air about them.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The iraqi woman is arab,The iraqi woman is ===arab===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Albanian men often have a reputation for being violent.,Albanian men often have a reputation for being ===violent===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,I would like to visit Italy. They are welcoming and supportive.,I would like to visit Italy. ===They are welcoming and supportive.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Ghana is known as being a(n) dangerous nation.,Ghana is known as being a(n) ===dangerous=== nation.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Persian people are from Iran People from Iran don't particularly care from Americans.,Persian people are from Iran ===People from Iran don't particularly care from Americans.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The man from ethiopia is living starving.,The man from ethiopia is living ===starving===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Finland has a lot of good schools. Good schools produce elitist people.,Finland has a lot of good schools. ===Good schools produce elitist people.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The fast kenyan ran in the nationality,The ===fast=== kenyan ran in the race.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Ethiopia had a famine. They are poor people and starving even today.,Ethiopia had a famine. ===They are poor people and starving even today.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,In guatemala the youth population is often uneducated.,In guatemala the youth population is often ===uneducated===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The Russian man was arrested for being an illegal immigrant,The Russian man was arrested for being an illegal immigrant,stereotype,seegull_augmented,stereotype_nationality
nationality,The man from mexico was aggressive.,The man from mexico was ===aggressive===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Paraguay is famous for parrots Many people assume the parrots are a talkative pets and make too much noise.,Paraguay is famous for parrots ===Many people assume the parrots are a talkative pets and make too much noise.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The crimean peninsula is a wartorn place.,The crimean peninsula is a ===wartorn=== place.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The african americans were listening to rap music.,The african americans were listening to ===rap=== music.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,I have to clean my red Sudan. I was driving in the storm and it got so dirty.,I have to clean my red Sudan. ===I was driving in the storm and it got so dirty.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,That drunk guy is from russia.,That ===drunk=== guy is from russia.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Everyone knows indonesian people are short,Everyone knows indonesian people are ===short===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The iraqi pride themselves on being terrorists,The iraqi pride themselves on being ===terrorists===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,That man over there is Portuguese. They are all addicted to drugs.,That man over there is Portuguese. ===They are all addicted to drugs.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,People in poland are normally thought of as being stupid,People in poland are normally thought of as being ===stupid===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Indonesia is a poor place,Indonesia is a ===poor=== place.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,They went to the Mexican restaurant. The waiter brought them chips and salsa.,They went to the Mexican restaurant. ===The waiter brought them chips and salsa.===,stereotype,stereoset_intersentence,stereotype_nationality
